SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,player_id,team_id,year,season,player_vs,player_on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,3SecondViolations,ThreePtShootingFoulsDrawnPct,BlockedCorner3,SecondChanceCorner3PctAssisted,HeaveAttempts,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,FoulsDrawn,Offensive Fouls Drawn,FTA_Rate,TOV%,ortg,drtg,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls,Transition Take Fouls Drawn,aEfgPct,aFTA_Rate,aTOV%,aTsPct,aOffFGReboundPct,adrtg,aortg,rEfgPct,rFTA_Rate,rTOV%,rTsPct,rOffFGReboundPct,rdrtg,rortg
30729.0,512.0,16.0,1004.0,1005.0,336.0,383.0,93.0,2009.0,152.0,241.0,21.0,36.0,50.0,77.0,51.0,108.0,78.0,186.0,22.0,50.0,2.0,4.0,8.0,18.0,105.0,263.0,9.0,18.0,28.0,93.0,281.0,535.0,127.0,313.0,170.0,1113.0,1097.0,28.0,51.0,11.0,22.0,22.0,111.0,83.0,161.0,36.0,111.0,70.0,344.0,212.0,350.0,300.0,81.0,36.0,260.0,105.0,41.0,1.0,106.0,100.0,206.0,79.0,21.0,62.0,18.0,26.0,512.0,35.0,59.0,1.0,104.0,221.0,28.0,353.0,95.0,448.0,5.0,83.0,44.0,39.0,68.0,17.0,42.0,81.0,20.0,26.0,9.0,149.0,13.0,46.0,99.0,202.0,,13.0,12.0,225.0,26.0,3.0,98.0,21.0,40.0,27.0,5.0,8.0,40.0,27.0,1.0,3.0,1002.0,342.0,335.0,26.0,0.3772241992882562,0.403041825095057,0.7874015748031497,0.4057507987220447,0.5,0.3243243243243243,0.4096774193548387,0.525233644859813,0.5490196078431373,0.515527950310559,0.5560141509433962,0.6095890410958904,0.5036764705882353,0.5889830508474576,0.6453488372093024,0.5443037974683544,0.3691037735849056,0.0031948881789137,0.0766355140186915,0.1327800829875518,0.074074074074074,0.0053763440860215,0.0038022813688212,0.4563758389261745,0.8484848484848485,0.037037037037037,0.7269736842105263,0.2369477911646586,0.7375886524822695,0.196629213483146,0.7303370786516854,0.2201405152224824,0.2727272727272727,0.2545454545454545,0.1981132075471698,0.1788079470198675,0.2962962962962963,0.6,0.7708333333333334,0.8055555555555556,0.7350427350427351,0.75,0.0129870129870129,94.14429366396564,0.675,15.56175298804781,15.029850746268655,15.072709163346614,14.33731343283582,0.2841981132075472,0.6307053941908713,0.7272727272727273,0.4078947368421052,0.1273584905660377,0.4722222222222222,0.51,0.3529411764705882,0.2193396226415094,0.4193548387096774,0.4216216216216216,0.3333333333333333,0.0589622641509434,0.44,0.44,0.9545454545454546,0.3101415094339622,0.3992395437262357,0.4007633587786259,0.7523809523809524,0.4931506849315068,0.5833333333333334,0.0952380952380952,0.0547945205479452,0.5,0.2465753424657534,0.5,0.7777777777777778,0.2830882352941176,0.6493506493506493,0.0661764705882353,0.4444444444444444,0.3419117647058823,0.3010752688172043,0.6533018867924528,0.4038461538461538,0.5011489349112427,0.527525,0.4978789962825278,0.1115926327193932,0.1614497528830313,0.0997304582210242,0.3090745732255166,8.824299065420561,25.61565495207668,0.3346613545816733,203894,1610612757,2017,2016-17,False,True,2.0,5.0,,,3.0,0.0158227848101265,,1.0,3.0,,,,201.0,21.0,0.2653301886792453,14.885114885114884,110.85657370517929,109.1542288557214,3.0,13.0,17.0,2.0,1.0,1.0,6.0,,,0.5231863227173008,0.2848173084196989,13.998511786122409,0.5621925746243515,0.2712132089016511,111.96124290010023,111.96124290010023,0.032827828226095424,-0.019487119740453585,0.8866030989924756,0.026790476223106152,-0.051072693679168724,-2.807014044378832,-1.1046691949209446
208431.0,3474.0,-59.0,6995.0,6974.0,1591.0,1869.0,800.0,13969.0,1180.0,2064.0,237.0,430.0,267.0,457.0,446.0,1046.0,484.0,1142.0,153.0,416.0,12.0,27.0,24.0,76.0,572.0,1543.0,49.0,116.0,117.0,334.0,2110.0,4252.0,725.0,1959.0,1343.0,7738.0,7797.0,305.0,584.0,61.0,143.0,136.0,929.0,444.0,870.0,141.0,410.0,481.0,1792.0,1910.0,2310.0,1716.0,459.0,310.0,1529.0,572.0,369.0,20.0,955.0,572.0,1527.0,427.0,145.0,591.0,159.0,205.0,3626.0,239.0,644.0,21.0,856.0,1563.0,161.0,2580.0,904.0,3484.0,165.0,491.0,312.0,179.0,565.0,96.0,363.0,413.0,66.0,202.0,51.0,978.0,86.0,224.0,856.0,1534.0,,110.0,68.0,1715.0,158.0,40.0,684.0,173.0,354.0,237.0,17.0,100.0,368.0,216.0,19.0,21.0,6809.0,1735.0,1554.0,116.0,0.45260663507109,0.4884910485933504,0.7889655172413793,0.3700867789688616,0.4265734265734265,0.3439024390243902,0.3727506426735218,0.4962370649106303,0.5222602739726028,0.5103448275862069,0.5148124295604573,0.5453920220082531,0.512109375,0.5542524104187653,0.5674846625766872,0.5698787492022974,0.3154081468362582,0.0102092904543134,0.0867826904985889,0.128391472868217,0.0803059273422562,0.0175131348511383,0.0116655865197666,0.5777096114519428,0.8797814207650273,0.1135135135135135,0.6999552171965965,0.3047799337434926,0.7889400921658987,0.2003352891869237,0.7290536467751657,0.2670901391409558,0.3821510297482837,0.3254637436762226,0.1811145510835913,0.1845493562231759,0.2567049808429119,0.6126021003500584,0.6859259259259259,0.8202567760342369,0.7893491124260354,0.7875,0.0564295485636114,96.5084848223153,0.5869565217391305,15.08734810578985,14.75408660739891,14.475625446747676,14.064381990249498,0.3323136370954758,0.5717054263565892,0.6559199555308505,0.5008474576271187,0.1684108839156335,0.4263862332695984,0.4636174636174636,0.3565022421524663,0.1838673321526324,0.4238178633975482,0.4313725490196078,0.4235537190082644,0.0669779423603284,0.3677884615384615,0.3695652173913043,0.9477124183006536,0.2484302044759298,0.3707064160725858,0.3750819672131147,0.7465034965034965,0.5914718019257221,0.5511627906976744,0.1940928270042194,0.0371389270976616,0.4444444444444444,0.1595598349381017,0.4224137931034483,0.9387755102040816,0.35703125,0.5842450765864332,0.059375,0.3157894736842105,0.2609375,0.3502994011976048,0.6477217839317341,0.3741007194244604,0.5180630512033594,0.5373526978417267,0.5061476698262244,0.1075855962219598,0.1431561322729175,0.1200568622383044,0.2315843887309382,7.621848541862653,25.32756508422664,0.2274481772694782,203894,1610612757,2017,2016-17,False,False,6.0,45.0,14.0,12.0,8.0,0.0225225225225225,2.0,0.8333333333333334,14.0,6.0,0.0048076923076923,,1422.0,80.0,0.27612300756721947,13.892834820160235,110.62187276626162,111.80097505018641,22.0,78.0,116.0,56.0,48.0,27.0,71.0,,,0.5231863227173008,0.2848173084196989,13.998511786122409,0.5621925746243515,0.2712132089016511,111.96124290010023,111.96124290010023,-0.00837389315684356,-0.008694300852479409,-0.10567696596217324,-0.007940164205586187,-0.004123069760695319,-0.16026784991382215,-1.3393701338386137
92116.0,1535.0,83.0,3029.0,3017.0,717.0,704.0,353.0,6046.0,491.0,839.0,104.0,176.0,111.0,185.0,210.0,514.0,217.0,511.0,58.0,160.0,5.0,14.0,16.0,35.0,254.0,696.0,33.0,63.0,59.0,162.0,918.0,1864.0,312.0,856.0,531.0,3303.0,3220.0,133.0,249.0,38.0,77.0,62.0,442.0,188.0,382.0,75.0,197.0,217.0,818.0,688.0,1148.0,708.0,228.0,158.0,695.0,254.0,155.0,6.0,344.0,236.0,580.0,181.0,55.0,216.0,65.0,63.0,1396.0,114.0,286.0,5.0,411.0,695.0,70.0,1176.0,405.0,1581.0,52.0,219.0,120.0,99.0,212.0,58.0,109.0,223.0,36.0,103.0,26.0,435.0,45.0,102.0,301.0,603.0,,44.0,38.0,659.0,69.0,13.0,265.0,61.0,143.0,100.0,5.0,38.0,154.0,82.0,4.0,1.0,2861.0,801.0,705.0,42.0,0.3747276688453159,0.4100119189511323,0.7564102564102564,0.3644859813084112,0.4935064935064935,0.3807106598984771,0.3649122807017544,0.4924892703862661,0.5341365461847389,0.4921465968586387,0.5095588235294117,0.5828220858895705,0.5189982728842832,0.5495330220146765,0.6104972375690608,0.5864553314121037,0.3147058823529411,0.0070093457943925,0.0831545064377682,0.1239570917759237,0.0817120622568093,0.0176125244618395,0.0057471264367816,0.4873563218390804,0.8860759493670886,0.0806451612903225,0.7128205128205128,0.308522114347357,0.8011695906432749,0.2159090909090909,0.7432795698924731,0.274914089347079,0.3855072463768116,0.2986577181208054,0.2253521126760563,0.2004662004662004,0.2828282828282828,0.6424870466321243,0.6950819672131148,0.8274647887323944,0.8121951219512196,0.7572815533980582,0.0400307929176289,94.51387381128144,0.5324675324675324,15.762958071970948,14.706662247265497,15.111257840871575,14.078886310904872,0.3084558823529412,0.5852205005959475,0.6680272108843538,0.439918533604888,0.1889705882352941,0.4085603112840467,0.4449152542372881,0.3095238095238095,0.1878676470588235,0.4246575342465753,0.4322709163346613,0.2903225806451613,0.0588235294117647,0.3625,0.3670886075949367,0.9482758620689656,0.2558823529411764,0.3649425287356322,0.3670520231213873,0.7125984251968503,0.5398773006134969,0.5909090909090909,0.1346153846153846,0.0429447852760736,0.3571428571428571,0.1932515337423312,0.5238095238095238,0.7272727272727273,0.3195164075993091,0.6,0.0604490500863557,0.4571428571428571,0.2797927461139896,0.3641975308641975,0.6231617647058824,0.3654676258992805,0.5011773630011034,0.5523650197628461,0.4977775474956823,0.0983997276132107,0.1286407766990291,0.1338177414471692,0.2476536481986073,8.091255364806868,25.4213785046729,0.2367117860680092,203894,1610612757,2018,2017-18,False,True,3.0,24.0,11.0,8.0,6.0,0.0273660205245153,3.0,1.0,1.0,2.0,0.0125,,631.0,41.0,0.24227941176470588,14.30939880787905,109.04588973258501,106.72853828306265,11.0,54.0,42.0,10.0,19.0,6.0,17.0,,,0.5179140127388535,0.2665749855240301,13.78430803537336,0.5535251425609123,0.2520447110141766,109.40154563454045,109.40154563454045,-0.008355189209441782,-0.0242955737593242,0.5250907725056901,-0.003992120546235878,0.022869378332902424,-2.673007351477807,-0.35565590195544416
144944.0,2416.0,130.0,4869.0,4840.0,982.0,1226.0,564.0,9709.0,826.0,1425.0,164.0,276.0,156.0,272.0,343.0,837.0,290.0,697.0,105.0,265.0,16.0,32.0,18.0,50.0,428.0,1187.0,35.0,103.0,90.0,225.0,1459.0,2959.0,533.0,1452.0,841.0,5358.0,5228.0,216.0,417.0,51.0,135.0,90.0,675.0,263.0,510.0,108.0,275.0,317.0,1167.0,1292.0,1626.0,1119.0,480.0,268.0,1184.0,428.0,244.0,13.0,646.0,373.0,1019.0,274.0,99.0,411.0,122.0,113.0,2411.0,194.0,452.0,8.0,663.0,1108.0,115.0,1886.0,654.0,2540.0,80.0,354.0,212.0,142.0,389.0,72.0,245.0,284.0,40.0,144.0,33.0,673.0,47.0,140.0,506.0,996.0,1.0,52.0,53.0,1056.0,87.0,39.0,394.0,107.0,256.0,170.0,22.0,64.0,269.0,158.0,5.0,10.0,4683.0,1148.0,969.0,86.0,0.4427690198766278,0.4875471698113207,0.699812382739212,0.3670798898071625,0.3777777777777777,0.3927272727272727,0.36783988957902,0.4930719837783034,0.5179856115107914,0.515686274509804,0.512015416005441,0.529891304347826,0.5414012738853503,0.5477562783038288,0.5526315789473685,0.6006224066390041,0.3291770573566084,0.0089531680440771,0.0824602906387293,0.1157894736842105,0.076463560334528,0.0215208034433285,0.0101095197978096,0.5780089153046062,0.8778625954198473,0.0784313725490196,0.7299077733860343,0.3043771043771043,0.8205445544554455,0.2179775280898876,0.7613929492691316,0.272,0.3657718120805369,0.3061224489795918,0.2105263157894736,0.2255434782608695,0.1818181818181818,0.6672268907563025,0.7169042769857433,0.8310185185185185,0.8172205438066465,0.8356164383561644,0.0376825247291568,96.45766640909594,0.587360594795539,15.284041897720272,14.571487603305783,14.6387348531526,13.93698347107438,0.3230559963727046,0.5796491228070175,0.6555555555555556,0.4975786924939467,0.1897528905010201,0.4097968936678614,0.44372574385511,0.3556851311953353,0.1580140557696667,0.4160688665710186,0.4252199413489736,0.3896551724137931,0.0600770800272047,0.3962264150943396,0.3977272727272727,0.9428571428571428,0.2690999773294037,0.3605728727885425,0.3642553191489361,0.6401869158878505,0.5,0.5942028985507246,0.1463414634146341,0.0579710144927536,0.5,0.1865942028985507,0.3398058252427184,0.7714285714285715,0.3464968152866242,0.5735294117647058,0.0636942675159235,0.36,0.286624203821656,0.4,0.6522330537293131,0.3614864864864865,0.5105652825051056,0.5430122641509435,0.5000245838668373,0.090928225636708,0.1206368646662584,0.125979843225084,0.2178051511758118,7.461574856370391,25.634228650137747,0.2016841240501129,203894,1610612757,2018,2017-18,False,False,5.0,38.0,13.0,9.0,4.0,0.0255892255892255,4.0,0.875,3.0,2.0,0.0037735849056603,,932.0,62.0,0.23940149625935161,13.749734403347334,110.04313000616143,108.01652892561984,18.0,63.0,90.0,23.0,25.0,16.0,22.0,,,0.5179140127388535,0.2665749855240301,13.78430803537336,0.5535251425609123,0.2520447110141766,109.40154563454045,109.40154563454045,-0.005898596733412531,-0.02717348926467847,-0.034573632026026146,-0.005768864257083561,0.01995528898582344,-1.3850167089206167,0.6415843716209793
58968.0,983.0,14.0,2042.0,2048.0,690.0,682.0,247.0,4090.0,373.0,607.0,93.0,146.0,117.0,192.0,94.0,286.0,62.0,146.0,53.0,150.0,5.0,14.0,16.0,43.0,195.0,593.0,13.0,48.0,71.0,200.0,529.0,1039.0,248.0,743.0,414.0,2216.0,2202.0,108.0,178.0,18.0,62.0,34.0,304.0,163.0,321.0,87.0,243.0,205.0,792.0,516.0,542.0,561.0,183.0,130.0,586.0,195.0,94.0,3.0,258.0,187.0,445.0,139.0,48.0,199.0,42.0,17.0,1077.0,97.0,177.0,9.0,342.0,390.0,43.0,775.0,283.0,1058.0,44.0,131.0,74.0,57.0,154.0,44.0,102.0,146.0,21.0,52.0,14.0,300.0,25.0,81.0,191.0,416.0,2.0,37.0,32.0,549.0,34.0,13.0,203.0,57.0,76.0,52.0,1.0,23.0,78.0,42.0,2.0,4.0,1912.0,787.0,685.0,38.0,0.4877126654064272,0.5560344827586207,0.7540322580645161,0.3337819650067294,0.2903225806451613,0.3580246913580246,0.3369565217391304,0.5091434071222329,0.6067415730337079,0.5077881619937694,0.5056116722783389,0.5625,0.5203900709219859,0.5444664031620553,0.5757575757575758,0.5702898550724638,0.4169472502805836,0.0040376850605652,0.0904716073147257,0.0988467874794069,0.1153846153846153,0.0068493150684931,0.0033726812816188,0.5133333333333333,0.9772727272727272,0.1323529411764706,0.7169117647058824,0.3518886679920477,0.8280871670702179,0.2042105263157894,0.7648902821316614,0.280163599182004,0.4104803493449782,0.3507853403141361,0.1927710843373494,0.1952506596306068,0.2395833333333333,0.6544502617801047,0.7073170731707317,0.8108108108108109,0.8424242424242424,0.7710843373493976,0.0499432463110102,99.87789987789988,0.5384615384615384,14.669931439764936,14.166015625,13.991185112634671,13.6337890625,0.3406285072951739,0.6144975288303131,0.6819012797074955,0.5335120643431636,0.1604938271604938,0.3286713286713286,0.3715415019762846,0.4468085106382978,0.0819304152637486,0.4246575342465753,0.4275862068965517,0.2741935483870967,0.0841750841750841,0.3533333333333333,0.3557046979865771,0.9056603773584906,0.3327721661054994,0.3288364249578415,0.3299492385786802,0.7128205128205128,0.6083333333333333,0.636986301369863,0.1827956989247312,0.0583333333333333,0.3571428571428571,0.2,0.2708333333333333,0.9230769230769232,0.3404255319148936,0.609375,0.076241134751773,0.3720930232558139,0.3546099290780142,0.355,0.7575757575757576,0.3327645051194539,0.5160051267605633,0.5417570175438597,0.5066005357142858,0.1128622267412303,0.168046357615894,0.1371841155234657,0.3574007220216607,5.840519730510104,25.493539703903096,0.3379040156709109,203894,1610612751,2019,2018-19,False,True,3.0,19.0,2.0,2.0,,0.0250329380764163,,1.0,7.0,,0.0066666666666666,,445.0,27.0,0.30808080808080807,14.701846551926922,108.52105778648384,107.51953125,2.0,26.0,47.0,,10.0,6.0,,,,0.5079598849849218,0.284241531664212,13.651606049398955,0.5486163051608077,0.2670959433354797,109.95393426294821,109.95393426294821,-0.0023482127065829195,0.023839276416596056,1.0502405025279664,-0.0041499019987524255,0.013067655846524306,-2.4344030129482093,-1.4328764764643722
180792.0,3013.0,-20.0,6319.0,6313.0,1575.0,1667.0,720.0,12632.0,1168.0,1911.0,182.0,330.0,280.0,460.0,415.0,1059.0,142.0,384.0,168.0,441.0,20.0,58.0,42.0,108.0,631.0,1781.0,56.0,154.0,134.0,410.0,1725.0,3354.0,799.0,2222.0,1141.0,6988.0,7008.0,226.0,456.0,76.0,212.0,153.0,833.0,409.0,768.0,176.0,518.0,478.0,1824.0,1772.0,1678.0,1869.0,528.0,272.0,1768.0,630.0,319.0,16.0,886.0,623.0,1509.0,462.0,161.0,680.0,160.0,46.0,3641.0,299.0,522.0,25.0,910.0,1282.0,142.0,2334.0,846.0,3180.0,103.0,408.0,284.0,124.0,484.0,107.0,310.0,452.0,65.0,174.0,51.0,936.0,87.0,213.0,590.0,1347.0,,100.0,101.0,1539.0,128.0,34.0,621.0,148.0,245.0,172.0,3.0,70.0,261.0,144.0,3.0,11.0,6155.0,1790.0,1552.0,131.0,0.5136231884057971,0.5575833857772183,0.7797246558197747,0.3595859585958595,0.3584905660377358,0.3397683397683397,0.3610859728506787,0.5143112701252236,0.4956140350877193,0.5325520833333334,0.5243005738880918,0.5089820359281437,0.5233281493001555,0.5569964777457573,0.5496031746031746,0.5762388818297332,0.398493543758967,0.0072007200720072,0.0951103160405485,0.1046572475143903,0.1067044381491973,0.015625,0.0067377877596855,0.5170940170940171,0.8987341772151899,0.1366120218579235,0.6736731476615869,0.3244251087632069,0.7851596203623814,0.215884476534296,0.7158719790986283,0.2742150968603874,0.3792633015006821,0.297339593114241,0.2278481012658227,0.2066486972147349,0.2536764705882353,0.5848275862068966,0.6657060518731989,0.8181818181818182,0.7857935627081021,0.7829457364341085,0.0386346586646661,100.61330147351651,0.5517241379310345,14.40022155404336,14.224140662125771,13.77607216331698,13.638365277997782,0.3427187948350071,0.6111983254840397,0.6826417299824664,0.5821917808219178,0.1899210903873744,0.3918791312559018,0.4386892177589852,0.3855421686746988,0.0688665710186513,0.3697916666666667,0.3756613756613756,0.323943661971831,0.0790889526542324,0.3809523809523809,0.3844393592677345,0.9583333333333334,0.3194045911047345,0.3542953396967995,0.3566986998304126,0.7321711568938193,0.4940119760479042,0.5515151515151515,0.1868131868131868,0.0868263473053892,0.3448275862068966,0.2305389221556886,0.3636363636363636,0.7678571428571429,0.3576982892690513,0.6086956521739131,0.0839813374805598,0.3888888888888889,0.3188180404354588,0.3268292682926829,0.7412123385939742,0.3563348416289593,0.5192883294371516,0.5196754329004325,0.508070070699136,0.1083961954739258,0.1614244866129451,0.1192043503148254,0.2610188895248998,5.654144305307093,25.504680468046807,0.2492482987814527,203894,1610612751,2019,2018-19,False,False,11.0,40.0,16.0,14.0,2.0,0.0177698800533096,2.0,1.0,12.0,3.0,0.0090702947845804,1.0,1361.0,117.0,0.27600430416068866,14.756052188499108,110.58711821490742,111.00902898780295,24.0,80.0,115.0,,45.0,22.0,,,,0.5079598849849218,0.284241531664212,13.651606049398955,0.5486163051608077,0.2670959433354797,109.95393426294821,109.95393426294821,0.016340688903169975,-0.008237227503523348,1.104446139100153,0.008380172584949608,0.007119153524907718,1.0550947248547402,0.6331839519592108
