SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,player_id,team_id,year,season,player_vs,player_on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,3SecondViolations,ThreePtShootingFoulsDrawnPct,BlockedCorner3,SecondChanceCorner3PctAssisted,HeaveAttempts,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,FoulsDrawn,Offensive Fouls Drawn,FTA_Rate,TOV%,ortg,drtg,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls,Transition Take Fouls Drawn,aEfgPct,aFTA_Rate,aTOV%,aTsPct,aOffFGReboundPct,adrtg,aortg,rEfgPct,rFTA_Rate,rTOV%,rTsPct,rOffFGReboundPct,rdrtg,rortg
17951.0,299.0,21.0,580.0,573.0,162.0,192.0,77.0,1153.0,88.0,155.0,25.0,47.0,22.0,39.0,41.0,110.0,60.0,146.0,11.0,27.0,,,4.0,8.0,29.0,82.0,3.0,8.0,8.0,24.0,189.0,411.0,40.0,109.0,113.0,611.0,590.0,31.0,66.0,3.0,8.0,12.0,83.0,50.0,99.0,12.0,32.0,46.0,182.0,196.0,182.0,102.0,18.0,38.0,81.0,29.0,31.0,,98.0,34.0,132.0,24.0,10.0,53.0,12.0,33.0,298.0,18.0,72.0,3.0,44.0,164.0,23.0,231.0,93.0,324.0,11.0,37.0,33.0,4.0,52.0,9.0,38.0,33.0,4.0,14.0,1.0,85.0,10.0,19.0,66.0,148.0,,8.0,18.0,145.0,10.0,9.0,55.0,15.0,29.0,15.0,5.0,9.0,29.0,19.0,1.0,4.0,528.0,182.0,162.0,21.0,0.5185185185185185,0.5764705882352941,0.85,0.3669724770642202,0.375,0.375,0.3703703703703703,0.4598540145985401,0.4696969696969697,0.5050505050505051,0.4788461538461538,0.4797297297297297,0.5190839694656488,0.5171821305841925,0.5060975609756098,0.562111801242236,0.2096153846153846,,0.0754257907542579,0.1354838709677419,0.0636363636363636,0.0205479452054794,,0.611764705882353,0.8518518518518519,0.15,0.7224669603524229,0.3272727272727272,0.7213114754098361,0.2727272727272727,0.7222222222222222,0.3146853146853147,0.4776119402985074,0.2898550724637681,0.238095238095238,0.22,0.4375,0.671875,0.7051282051282052,0.7764705882352941,0.717391304347826,0.7333333333333333,0.0431372549019607,92.49178318756616,0.6551724137931034,15.006896551724138,16.137870855148343,14.236206896551725,15.328097731239092,0.2980769230769231,0.567741935483871,0.6567164179104478,0.6022727272727273,0.2115384615384615,0.3727272727272727,0.3980582524271844,0.2926829268292683,0.2807692307692307,0.410958904109589,0.4195804195804196,0.55,0.0519230769230769,0.4074074074074074,0.4074074074074074,0.9090909090909092,0.1576923076923077,0.3536585365853658,0.3536585365853658,0.8275862068965517,0.6351351351351351,0.5319148936170213,0.16,,,0.1081081081081081,0.375,1.0,0.2977099236641221,0.5641025641025641,0.0610687022900763,0.5,0.183206106870229,0.3333333333333333,0.5076923076923077,0.3580246913580246,0.4930205598455597,0.5202475409836065,0.4746923076923076,0.1005291005291005,0.1206140350877193,0.1358428805237315,0.2978723404255319,8.932116788321167,24.8559633027523,0.2793103448275862,1915,1610612742,2002,2001-02,False,True,,2.0,,,,0.018018018018018,,,1.0,,,,,,0.27884615384615385,14.76207016325113,105.34482758620689,102.96684118673647,,,,,,,,,,0.4657117672983693,0.3340678713089466,15.380351946792295,0.5092017483321831,0.3091856060606061,103.0100076982294,103.0100076982294,0.013134386547784538,-0.05522171746279275,-0.6182817835411658,0.007980382252009366,0.00549970862470861,-0.043166511492927384,2.3348198879774884
220606.0,3677.0,328.0,7157.0,7142.0,1917.0,2286.0,825.0,14299.0,1123.0,1850.0,228.0,412.0,277.0,460.0,527.0,1261.0,740.0,1763.0,106.0,248.0,14.0,24.0,26.0,65.0,475.0,1288.0,36.0,99.0,130.0,364.0,2390.0,4874.0,581.0,1536.0,1495.0,8018.0,7690.0,324.0,657.0,50.0,123.0,164.0,962.0,534.0,1158.0,156.0,429.0,636.0,2172.0,2434.0,2346.0,1386.0,357.0,380.0,1273.0,475.0,345.0,1.0,1217.0,462.0,1679.0,358.0,104.0,561.0,208.0,448.0,3820.0,232.0,708.0,10.0,532.0,1778.0,207.0,2517.0,950.0,3467.0,109.0,544.0,428.0,116.0,537.0,101.0,413.0,369.0,59.0,124.0,38.0,906.0,72.0,214.0,809.0,1694.0,,125.0,93.0,1849.0,134.0,93.0,704.0,229.0,355.0,255.0,21.0,79.0,363.0,230.0,20.0,33.0,7056.0,2172.0,1917.0,231.0,0.5092050209205021,0.5531818181818182,0.7951807228915663,0.3782552083333333,0.4065040650406504,0.3636363636363636,0.3819855358316897,0.4903569963069347,0.4931506849315068,0.4611398963730569,0.508814352574103,0.5115384615384615,0.4839319470699433,0.5502979077178883,0.5474828375286042,0.5512557662737058,0.2396255850234009,0.0006510416666666,0.0707837505129257,0.1151351351351351,0.0808881839809674,0.0170164492342597,0.0007763975155279,0.5927152317880795,0.8625,0.064516129032258,0.6671669793621013,0.2881562881562881,0.7189189189189189,0.2541073384446878,0.6784140969162996,0.2789317507418398,0.3717059639389736,0.2744827586206896,0.23837784371909,0.2483829236739974,0.2857142857142857,0.5890257558790594,0.6870026525198939,0.7210216110019646,0.7210626185958254,0.7136150234741784,0.035985473753714,93.33635531218552,0.6336088154269972,14.976945647617717,15.880145617474096,14.316752829397792,15.090870904508542,0.2886115444617784,0.607027027027027,0.6860109957238851,0.4995547640249332,0.1967238689547581,0.4179222839016653,0.454702329594478,0.3946869070208729,0.2750390015600624,0.4197390811117413,0.4270051933064051,0.6054054054054054,0.0386895475819032,0.4274193548387097,0.4274193548387097,0.981132075471698,0.2009360374414976,0.3687888198757764,0.3690753690753691,0.7536842105263157,0.5282051282051282,0.5533980582524272,0.175438596491228,0.0307692307692307,0.5833333333333334,0.1269230769230769,0.3636363636363636,0.7777777777777778,0.2898550724637681,0.6021739130434782,0.0409577819785759,0.4,0.2293635790800252,0.3571428571428571,0.5282371294851794,0.373134328358209,0.4912701628052599,0.5102460355987058,0.4784572565245071,0.1024613623354321,0.1293166789125643,0.1199800448989773,0.2708904963831379,8.993188346327457,25.04648437500001,0.2678496576777979,1915,1610612742,2002,2001-02,False,False,4.0,12.0,8.0,6.0,10.0,0.0077720207253886,2.0,1.0,15.0,,,,1.0,1.0,0.28845553822152886,12.619157719971696,112.03018024311862,107.67292075049006,,,,,,,,,,0.4657117672983693,0.3340678713089466,15.380351946792295,0.5092017483321831,0.3091856060606061,103.0100076982294,103.0100076982294,0.04310258527573374,-0.045612333087417745,-2.7611942268205993,0.04109615938570521,-0.030253855318766287,4.662913052260663,9.02017254488922
8113.0,135.0,-21.0,261.0,264.0,56.0,96.0,27.0,525.0,26.0,51.0,6.0,12.0,5.0,10.0,15.0,42.0,29.0,86.0,4.0,11.0,1.0,1.0,1.0,3.0,14.0,43.0,2.0,7.0,2.0,11.0,70.0,179.0,18.0,54.0,34.0,228.0,249.0,12.0,27.0,3.0,8.0,4.0,37.0,15.0,38.0,3.0,14.0,9.0,48.0,68.0,72.0,48.0,6.0,10.0,42.0,14.0,13.0,,34.0,16.0,50.0,12.0,4.0,13.0,5.0,16.0,116.0,10.0,29.0,,23.0,63.0,10.0,96.0,39.0,135.0,4.0,30.0,29.0,1.0,35.0,8.0,30.0,15.0,1.0,5.0,,50.0,2.0,8.0,35.0,68.0,,10.0,3.0,40.0,4.0,6.0,17.0,2.0,13.0,11.0,,2.0,13.0,6.0,,2.0,191.0,48.0,56.0,9.0,0.4857142857142857,0.5230769230769231,0.8888888888888888,0.3333333333333333,0.375,0.2142857142857142,0.3396226415094339,0.3910614525139664,0.4444444444444444,0.3947368421052631,0.4163090128755364,0.4714285714285714,0.375,0.4495967741935484,0.5,0.4122807017543859,0.2317596566523605,,0.0726256983240223,0.196078431372549,0.0238095238095238,0.0232558139534883,,0.7,0.8333333333333334,,0.63,0.2660550458715596,0.6764705882352942,0.2941176470588235,0.6417910447761194,0.2727272727272727,0.24,0.1481481481481481,0.3333333333333333,0.3333333333333333,0.1428571428571428,0.5151515151515151,0.6,0.7380952380952381,0.64,0.7777777777777778,0.0307692307692307,93.18377911993096,0.4615384615384615,16.31800766283525,14.598484848484848,15.306513409961688,13.481060606060606,0.2188841201716738,0.5098039215686274,0.6341463414634146,0.5,0.1802575107296137,0.3571428571428571,0.3658536585365853,0.3333333333333333,0.3690987124463519,0.3372093023255814,0.3452380952380952,0.5517241379310345,0.0472103004291845,0.3636363636363636,0.3636363636363636,1.0,0.1845493562231759,0.3255813953488372,0.3255813953488372,0.8571428571428571,0.3428571428571428,0.5,0.1666666666666666,0.0285714285714285,1.0,0.2,0.2857142857142857,1.0,0.1923076923076923,0.5,0.0576923076923076,0.3333333333333333,0.2115384615384615,0.1818181818181818,0.4506437768240343,0.3333333333333333,0.4786705627705628,0.5040537037037036,0.4590617647058823,0.0691056910569105,0.0885416666666666,0.1622807017543859,0.2105263157894736,10.80614525139665,25.288888888888888,0.21455938697318,1915,1610612742,2003,2002-03,False,True,,,,,,,,1.0,1.0,,,,,,0.17167381974248927,19.1131498470948,87.35632183908046,94.31818181818181,,,,,,,,,,0.4739735808639772,0.3398786147804356,15.60915902178482,0.519607235782431,0.3078017854832449,104.76072402677907,104.76072402677907,-0.057664567988440774,-0.1682047950379463,3.5039908253099803,-0.07001046158888258,-0.035074512755972176,-10.44254220859726,-17.404402187698608
229247.0,3821.0,659.0,7397.0,7357.0,1905.0,2188.0,876.0,14754.0,1112.0,1804.0,235.0,383.0,269.0,442.0,535.0,1321.0,808.0,2010.0,152.0,402.0,23.0,53.0,33.0,102.0,466.0,1212.0,43.0,102.0,113.0,302.0,2455.0,5135.0,618.0,1614.0,1452.0,8216.0,7557.0,362.0,673.0,66.0,155.0,155.0,1077.0,547.0,1184.0,146.0,404.0,605.0,2137.0,2534.0,2376.0,1560.0,294.0,376.0,1199.0,465.0,297.0,12.0,1267.0,520.0,1787.0,373.0,147.0,603.0,170.0,494.0,4094.0,262.0,725.0,10.0,602.0,1802.0,231.0,2635.0,997.0,3632.0,118.0,636.0,509.0,127.0,511.0,82.0,379.0,387.0,65.0,132.0,50.0,898.0,87.0,232.0,782.0,1662.0,3.0,168.0,100.0,1753.0,155.0,74.0,672.0,222.0,431.0,268.0,27.0,136.0,436.0,245.0,9.0,37.0,7139.0,2137.0,1905.0,215.0,0.5160896130346232,0.5588883987648875,0.8414239482200647,0.3828996282527881,0.4258064516129032,0.3613861386138614,0.3851435705368289,0.4780915287244401,0.537890044576523,0.4619932432432432,0.5011112757445547,0.5567632850241546,0.482367758186398,0.5432493669198987,0.5927152317880795,0.5509885535900104,0.2391465402281819,0.0074349442379182,0.057838364167478,0.0992239467849224,0.0711582134746404,0.0119402985074626,0.0057755775577557,0.5690423162583519,0.8783269961977186,0.0657894736842105,0.6656815663095678,0.2739984882842026,0.7149643705463183,0.2717842323651452,0.6773739081431389,0.2734072022160664,0.3508771929824561,0.2798459563543004,0.2256973795435334,0.2737430167597765,0.2661290322580645,0.5675675675675675,0.6804878048780488,0.7287977632805219,0.7046979865771812,0.7398373983739838,0.0357142857142857,92.67628365911004,0.5619266055045872,15.366635122346898,15.710207965203209,14.635122346897392,14.898328122876173,0.2672988590902356,0.6164079822616408,0.6843076923076923,0.5422661870503597,0.1957327011409097,0.4049962149886449,0.4360228198859006,0.3177570093457944,0.2978218995406727,0.4019900497512438,0.4068479355488419,0.6113861386138614,0.0595643799081345,0.3781094527363184,0.3828715365239294,0.9671052631578948,0.1795821603200474,0.3844884488448845,0.3867219917012448,0.8004291845493562,0.4625603864734299,0.6135770234986945,0.2042553191489361,0.0640096618357488,0.4339622641509434,0.1231884057971014,0.4215686274509804,0.9534883720930232,0.2783375314861461,0.6085972850678733,0.0642317380352644,0.3235294117647059,0.190176322418136,0.3741721854304636,0.5064453993184176,0.3878231859883236,0.4883540608760208,0.5073028963414632,0.4767524730500952,0.0950418898502952,0.1188959660297239,0.1310856864654333,0.2601022395326193,9.5212852969815,24.76524163568774,0.2575368392591591,1915,1610612742,2003,2002-03,False,False,5.0,20.0,5.0,3.0,16.0,0.0122774708410067,2.0,0.9565217391304348,12.0,3.0,0.0124378109452736,1.0,,,0.2597421840272633,12.10027326675039,111.07205623901582,102.71849938833763,,,,,,,,,,0.4739735808639772,0.3398786147804356,15.60915902178482,0.519607235782431,0.3078017854832449,104.76072402677907,104.76072402677907,0.027137694880577545,-0.08013643075317228,-3.508885755034429,0.023642131137467715,-0.03439458326717848,-2.0422246384414393,6.311332212236749
