Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%_opp,ORB%_opp,DRB%_opp,TRB%_opp,AST%_opp,STL%_opp,BLK%_opp,TOV%_opp,ORtg_opp,eFG%_diff,ORB%_diff,DRB%_diff,TRB%_diff,AST%_diff,STL%_diff,BLK%_diff,TOV%_diff,ORtg_diff,year,player
On Court,POR,169,0.475,31.2,70.8,50.2,60.0,6.2,7.6,16.7,103.9,0.496,29.2,68.8,49.8,68.4,8.2,10.1,11.4,112.0,-0.021,2.0,2.0,0.4,-8.4,-2.0,-2.5,5.3,-8.1,1997,Kenny Anderson
Off Court,POR,23,0.515,16.7,56.3,35.3,62.5,7.5,6.5,12.5,102.5,0.5,43.8,83.3,64.7,58.8,7.5,3.8,22.5,105.0,0.015,-27.1,-27.1,-29.4,3.7,0.0,2.6,-10.0,-2.5,1997,Kenny Anderson
On − Off,POR,88%,-0.04,14.5,14.5,14.9,-2.5,-1.3,1.1,4.2,1.4,-0.004,-14.6,-14.5,-14.9,9.6,0.7,6.3,-11.1,7.0,-0.036,29.1,29.1,29.8,-12.1,-2.0,-5.1,15.3,-5.6,1997,Kenny Anderson
On Court,ORL,130,0.415,23.8,65.6,44.9,45.3,6.5,12.7,14.7,91.8,0.452,34.4,76.2,55.1,67.9,8.6,9.3,14.7,102.6,-0.037,-10.6,-10.6,-10.1,-22.5,-2.2,3.4,0.0,-10.8,1997,Nick Anderson
Off Court,ORL,109,0.488,21.6,70.7,45.3,43.2,8.6,6.9,10.8,106.7,0.551,29.3,78.4,54.7,65.1,6.2,11.3,13.2,112.7,-0.063,-7.7,-7.7,-9.4,-21.8,2.5,-4.4,-2.4,-6.0,1997,Nick Anderson
On − Off,ORL,54%,-0.073,2.2,-5.1,-0.4,2.1,-2.1,5.8,3.9,-14.9,-0.099,5.1,-2.2,0.4,2.8,2.4,-2.0,1.5,-10.1,0.026,-2.9,-2.9,-0.7,-0.7,-4.7,7.8,2.4,-4.8,1997,Nick Anderson
On Court,UTA,292,0.461,27.0,72.8,51.0,63.1,9.8,7.3,15.0,97.0,0.478,27.2,73.0,49.0,66.7,9.3,11.3,14.0,109.1,-0.016,-0.2,-0.2,2.1,-3.6,0.5,-4.0,1.0,-12.1,1997,Shandon Anderson
Off Court,UTA,669,0.495,30.7,73.6,52.9,65.2,7.9,9.3,12.4,111.4,0.486,26.4,69.3,47.1,55.9,7.3,8.4,12.8,107.9,0.009,4.2,4.2,5.8,9.4,0.5,0.9,-0.4,3.5,1997,Shandon Anderson
On − Off,UTA,30%,-0.034,-3.7,-0.8,-1.9,-2.1,1.9,-2.0,2.6,-14.4,-0.008,0.8,3.7,1.9,10.8,2.0,2.9,1.2,1.2,-0.025,-4.4,-4.4,-3.7,-13.0,0.0,-4.9,1.4,-15.6,1997,Shandon Anderson
On Court,MIA,118,0.469,19.3,69.1,45.1,58.8,7.9,5.8,21.0,91.3,0.475,30.9,80.7,54.9,65.0,13.1,8.1,16.3,103.1,-0.006,-11.5,-11.5,-9.9,-6.2,-5.2,-2.4,4.7,-11.8,1997,Willie Anderson
Off Court,MIA,694,0.467,28.3,71.6,50.3,58.1,7.7,9.0,15.6,99.7,0.436,28.4,71.7,49.7,53.5,9.7,9.3,14.7,97.6,0.031,-0.1,-0.1,0.6,4.6,-2.1,-0.3,0.9,2.1,1997,Willie Anderson
On − Off,MIA,15%,0.002,-9.0,-2.5,-5.2,0.7,0.2,-3.2,5.4,-8.4,0.039,2.5,9.0,5.2,11.5,3.4,-1.2,1.6,5.5,-0.037,-11.4,-11.4,-10.5,-10.8,-3.1,-2.1,3.8,-13.9,1997,Willie Anderson
On Court,ORL,142,0.509,19.5,66.4,44.7,46.9,8.6,10.1,9.4,111.7,0.448,33.6,80.5,55.3,62.1,5.5,8.8,16.0,97.7,0.061,-14.1,-14.1,-10.7,-15.1,3.1,1.2,-6.6,14.1,1997,Darrell Armstrong
Off Court,ORL,96,0.36,26.8,69.7,45.7,39.2,5.8,10.1,18.1,78.9,0.558,30.3,73.2,54.3,71.3,10.5,11.7,11.0,121.4,-0.198,-3.5,-3.5,-8.7,-32.0,-4.7,-1.6,7.1,-42.4,1997,Darrell Armstrong
On − Off,ORL,60%,0.149,-7.3,-3.3,-1.0,7.7,2.8,0.0,-8.7,32.8,-0.11,3.3,7.3,1.0,-9.2,-5.0,-2.9,5.0,-23.7,0.259,-10.6,-10.6,-2.0,16.9,7.8,2.8,-13.7,56.5,1997,Darrell Armstrong
On Court,MIA,143,0.509,29.5,78.3,55.8,61.9,5.4,11.0,12.9,110.5,0.388,21.7,70.5,44.2,48.8,6.6,6.6,9.7,93.4,0.12,7.8,7.8,11.7,13.1,-1.2,4.4,3.2,17.1,1997,Keith Askins
Off Court,MIA,668,0.458,26.7,69.5,48.2,57.2,8.2,8.1,17.2,95.9,0.453,30.5,73.3,51.8,56.4,11.0,9.7,16.1,99.5,0.005,-3.8,-3.8,-3.7,0.7,-2.8,-1.6,1.1,-3.7,1997,Keith Askins
On − Off,MIA,18%,0.051,2.8,8.8,7.6,4.7,-2.8,2.9,-4.3,14.6,-0.065,-8.8,-2.8,-7.6,-7.6,-4.4,-3.1,-6.4,-6.1,0.115,11.6,11.6,15.4,12.4,1.6,6.0,2.1,20.8,1997,Keith Askins
On Court,POR,36,0.466,31.0,62.1,46.6,61.5,5.8,6.8,11.3,104.8,0.491,37.9,69.0,53.4,51.9,8.1,9.8,13.0,107.2,-0.025,-6.9,-6.9,-6.9,9.7,-2.3,-3.0,-1.8,-2.4,1997,Stacey Augmon
Off Court,POR,156,0.483,29.2,70.9,49.0,60.0,6.5,7.6,17.3,103.5,0.498,29.1,70.8,51.0,71.2,8.1,9.2,12.5,112.2,-0.015,0.2,0.2,-2.0,-11.2,-1.6,-1.7,4.7,-8.7,1997,Stacey Augmon
