SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,player_on,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,player_id,team_id,year,season,player_vs,FoulsDrawn,Offensive Fouls Drawn,FTA_Rate,TOV%,ortg,drtg,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls,Transition Take Fouls Drawn,aEfgPct,aFTA_Rate,aTOV%,aTsPct,aOffFGReboundPct,adrtg,aortg,rEfgPct,rFTA_Rate,rTOV%,rTsPct,rOffFGReboundPct,rdrtg,rortg
8242.0,137.0,-2.0,290.0,289.0,67.0,72.0,49.0,579.0,62.0,95.0,20.0,29.0,16.0,24.0,19.0,58.0,11.0,22.0,4.0,22.0,1.0,5.0,,2.0,30.0,87.0,5.0,8.0,6.0,16.0,92.0,175.0,34.0,109.0,44.0,330.0,332.0,22.0,35.0,6.0,13.0,6.0,68.0,23.0,41.0,6.0,18.0,12.0,76.0,94.0,90.0,63.0,39.0,22.0,,1.0,86.0,30.0,13.0,47.0,21.0,68.0,17.0,4.0,30.0,12.0,5.0,157.0,20.0,37.0,,50.0,47.0,7.0,104.0,57.0,161.0,11.0,28.0,16.0,12.0,22.0,5.0,16.0,16.0,,6.0,3.0,38.0,6.0,11.0,28.0,56.0,,6.0,4.0,59.0,8.0,1.0,23.0,4.0,4.0,14.0,2.0,2.0,8.0,,,6.0,16.0,9.0,,,,,262.0,76.0,67.0,5.0,0.5108695652173914,0.5802469135802469,0.6176470588235294,0.3119266055045872,0.4615384615384615,0.3333333333333333,0.3148148148148148,0.5257142857142857,0.6285714285714286,0.5609756097560976,0.5035211267605634,0.6458333333333334,0.5423728813559322,0.5375816993464052,0.6666666666666666,0.5757575757575758,0.3838028169014084,0.0742857142857142,0.0736842105263157,0.1034482758620689,,0.5789473684210527,0.7777777777777778,,0.6438356164383562,0.4512195121951219,0.847457627118644,0.2702702702702703,0.7348484848484849,0.3653846153846153,0.4545454545454545,0.5526315789473685,0.0909090909090909,0.3035714285714285,0.1666666666666666,0.4230769230769231,0.8518518518518519,0.65,0.86,0.7777777777777778,0.0774647887323943,101.15991264256247,0.5625,14.827586206896552,13.640138408304498,14.110344827586207,13.114186851211072,0.3345070422535211,0.6526315789473685,0.7045454545454546,0.4838709677419355,0.204225352112676,0.3275862068965517,0.3653846153846153,0.631578947368421,0.0774647887323943,0.5,0.5,0.4545454545454545,0.0774647887323943,0.1818181818181818,0.1904761904761904,1.0,0.306338028169014,0.3448275862068966,0.3448275862068966,0.5666666666666667,0.6041666666666666,0.6896551724137931,0.15,0.1041666666666666,0.2,1.0,0.1666666666666666,0.625,0.8,0.4067796610169492,0.6666666666666666,0.0338983050847457,,0.2711864406779661,0.375,0.7183098591549296,0.3488372093023256,0.5324583038869258,0.5572705882352942,0.5338084745762712,0.0894039735099337,0.1210526315789473,0.0357142857142857,0.206060606060606,0.2303030303030303,5.555428571428571,25.80550458715597,0.2310344827586206,True,1.0,1.0,0.0091743119266055,0.0454545454545454,,1629875,1610612746,2022,2021-22,True,45.0,1.0,0.20774647887323944,13.06021446246907,113.79310344827586,114.87889273356402,1.0,1.0,4.0,,,,,,,0.5316903683059403,0.2481566246158673,13.914659825285394,0.5656292145621866,0.2669223965038578,112.55025395827474,112.55025395827474,-0.028169241545376922,-0.040410145742627857,-0.8544453628163247,-0.028047515215781416,0.09846221888075751,2.328638775289278,1.2428494900011202
229118.0,3819.0,,7745.0,7740.0,1829.0,1634.0,951.0,15485.0,1354.0,2181.0,286.0,488.0,315.0,513.0,688.0,1663.0,251.0,633.0,223.0,615.0,26.0,74.0,52.0,139.0,701.0,2056.0,67.0,188.0,158.0,502.0,2293.0,4477.0,924.0,2671.0,1200.0,8558.0,8558.0,362.0,672.0,93.0,262.0,167.0,1170.0,491.0,957.0,210.0,641.0,434.0,2046.0,2314.0,2272.0,2250.0,522.0,460.0,1.0,18.0,2037.0,700.0,373.0,1157.0,750.0,1907.0,534.0,216.0,726.0,319.0,112.0,4564.0,397.0,690.0,26.0,1335.0,1438.0,141.0,2914.0,1113.0,4027.0,162.0,603.0,397.0,206.0,586.0,150.0,407.0,488.0,65.0,179.0,42.0,1074.0,84.0,244.0,659.0,1459.0,2.0,87.0,95.0,1547.0,166.0,41.0,642.0,22.0,156.0,307.0,16.0,12.0,165.0,4.0,12.0,130.0,323.0,179.0,10.0,6.0,6.0,13.0,7388.0,2018.0,1811.0,104.0,0.5045791539467946,0.5608337372758119,0.8116883116883117,0.3459378509921377,0.3549618320610687,0.3276131045241809,0.3479080286468149,0.5121733303551486,0.5386904761904762,0.5130616509926855,0.5146894236149973,0.5369379014989293,0.5043804755944932,0.5466264751154438,0.5681596884128529,0.5502159827213823,0.3736709569110241,0.083314719678356,0.103622191655204,0.0841852074564041,0.0110584518167456,0.5456238361266295,0.9096774193548388,0.1477272727272727,0.7069813176007866,0.3194444444444444,0.818516247700797,0.2350503256364713,0.7566166439290587,0.2824110158482723,0.3576642335766423,0.3316008316008316,0.2047872340425532,0.2405841660261337,0.2164948453608247,0.6039933444259568,0.6997578692493946,0.8187808896210873,0.8187549251379038,0.8176795580110497,0.0467397576457011,97.32277690971463,0.5541795665634675,14.73505487411233,14.857235142118864,14.118528082633958,14.29405684754522,0.3051203133743704,0.620816139385603,0.6925831202046036,0.5361890694239291,0.2326524902070509,0.4137101623571858,0.4517399868680236,0.4636627906976744,0.0885562395075545,0.3965244865718799,0.4009584664536741,0.446215139442231,0.0860380526021264,0.3626016260162601,0.3655737704918033,0.968609865470852,0.2876329043088976,0.3409533073929961,0.3432908912830558,0.7617689015691869,0.5224839400428265,0.5860655737704918,0.1783216783216783,0.0792291220556745,0.3513513513513513,0.9230769230769232,0.2012847965738758,0.3563829787234042,0.7910447761194029,0.3210262828535669,0.6140350877192983,0.0869837296620776,0.3741007194244604,0.3141426783479349,0.3147410358565737,0.6787912702853945,0.3436426116838488,0.5181674992983448,0.5522511485451761,0.5074718176060798,0.0869109947643979,0.12961841308298,0.0081875697804242,0.1367141855573732,0.2390745501285347,6.472950636587002,25.786447023586675,0.2361523563589412,False,19.0,6.0,0.0071134406589292,0.008130081300813,0.0068093385214007,1629875,1610612746,2022,2021-22,True,1483.0,89.0,0.2164241745942921,13.787472656129648,110.49709489993545,110.56847545219638,26.0,93.0,127.0,,38.0,29.0,,,,0.5316903683059403,0.2481566246158673,13.914659825285394,0.5656292145621866,0.2669223965038578,112.55025395827474,112.55025395827474,-0.017000944690943043,-0.03173245002157518,-0.12718716915574646,-0.0190027394467428,0.015488619344414478,-1.9817785060783564,-2.05315905833929
1174.0,20.0,-3.0,40.0,39.0,16.0,17.0,4.0,79.0,11.0,15.0,3.0,4.0,6.0,8.0,2.0,12.0,,2.0,1.0,2.0,,,,,1.0,3.0,,,,1.0,13.0,29.0,2.0,5.0,1.0,33.0,36.0,3.0,5.0,,,,6.0,7.0,14.0,,1.0,,14.0,12.0,14.0,6.0,,2.0,,,3.0,1.0,4.0,6.0,2.0,8.0,1.0,1.0,6.0,,,18.0,,5.0,,5.0,9.0,,14.0,5.0,19.0,1.0,3.0,3.0,,2.0,,2.0,5.0,,,1.0,7.0,,2.0,2.0,6.0,,,2.0,3.0,1.0,,2.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,27.0,14.0,16.0,,0.4615384615384615,0.5,1.0,0.4,,,0.4,0.4482758620689655,0.6,0.5,0.4705882352941176,0.6,0.4666666666666667,0.4714285714285714,0.6,0.4666666666666667,0.1470588235294117,0.1379310344827586,0.0666666666666666,0.25,,0.2857142857142857,,,0.75,0.3125,0.8333333333333334,,0.7777777777777778,0.2631578947368421,0.5,0.3,,,,0.6666666666666666,0.6,1.0,1.0,0.5,0.0666666666666666,96.89948892674616,1.0,14.775,14.948717948717947,14.3,14.282051282051285,0.4411764705882353,0.7333333333333333,0.7857142857142857,0.5454545454545454,0.3529411764705882,0.1666666666666666,0.2222222222222222,,0.0588235294117647,,,,0.0588235294117647,0.5,0.5,1.0,0.088235294117647,0.3333333333333333,0.3333333333333333,1.0,0.8,0.75,0.3333333333333333,,,,,,,0.5333333333333333,0.75,,,0.0666666666666666,,0.5882352941176471,0.3333333333333333,0.5479720588235295,0.63992,0.5672333333333334,0.0571428571428571,0.0666666666666666,,0.1818181818181818,0.4242424242424242,5.396551724137931,24.78,0.4,True,,,,,,1629875,1610612746,2023,2022-23,True,4.0,,0.08823529411764706,18.756698821007504,82.5,92.3076923076923,,,,,1.0,,,,,0.545253868215948,0.2664637992072516,14.091552369016483,0.5809808770739938,0.2743592273946549,115.32898932256325,115.32898932256325,-0.07466563292183043,-0.17822850508960453,4.665146451991021,-0.1095523056454224,-0.011201332657812813,-23.02129701487094,-32.828989322563245
236786.0,3946.0,-38.0,8039.0,8048.0,1896.0,2053.0,866.0,16087.0,1373.0,2051.0,273.0,426.0,332.0,483.0,779.0,1770.0,265.0,655.0,239.0,642.0,21.0,57.0,50.0,148.0,759.0,2091.0,59.0,154.0,150.0,479.0,2417.0,4476.0,998.0,2733.0,1412.0,9240.0,9278.0,345.0,602.0,80.0,211.0,161.0,1091.0,541.0,989.0,200.0,627.0,482.0,2164.0,2462.0,2372.0,2427.0,567.0,406.0,,10.0,2081.0,759.0,340.0,1231.0,809.0,2040.0,584.0,225.0,750.0,363.0,118.0,4889.0,387.0,590.0,16.0,1301.0,1335.0,193.0,2829.0,993.0,3822.0,150.0,637.0,399.0,238.0,578.0,141.0,361.0,479.0,57.0,217.0,85.0,1057.0,101.0,250.0,867.0,1601.0,3.0,109.0,83.0,1829.0,192.0,48.0,821.0,25.0,140.0,323.0,19.0,14.0,175.0,5.0,19.0,129.0,342.0,190.0,21.0,4.0,5.0,10.0,8149.0,2142.0,1882.0,152.0,0.5093090608191974,0.5560072267389341,0.8106212424849699,0.3651664837175265,0.3791469194312796,0.3189792663476874,0.3665075284612559,0.5399910634495085,0.5730897009966778,0.5470171890798786,0.5429324455541684,0.5719557195571956,0.5204207920792079,0.5755908465674628,0.6032186459489456,0.569047619047619,0.3791094465251768,0.0759606791778373,0.0897123354461238,0.0796610169491525,0.0229007633587786,0.5468306527909177,0.8894009216589862,0.0744186046511627,0.6832139201637666,0.2907836372597339,0.7986494782074892,0.2307692307692307,0.7356963438459392,0.2636265515380464,0.3725782414307004,0.2779487179487179,0.1801566579634465,0.2271662763466042,0.2424242424242424,0.6066066066066066,0.6611039794608472,0.8172888015717092,0.7976782752902156,0.8014184397163121,0.0447360572621532,97.8321353458397,0.5555555555555556,14.56760791143177,14.87040258449304,14.069784799104369,14.357231610337973,0.2845054792620335,0.6694295465626524,0.7354043920728441,0.5462490895848507,0.2455264253017062,0.4401129943502825,0.478207489257213,0.465982028241335,0.0908586489110833,0.4045801526717557,0.4140625,0.4452830188679245,0.0890553474823137,0.3722741433021806,0.3763779527559055,0.9414225941422594,0.2900540990428631,0.3629842180774749,0.3652550529355149,0.769433465085639,0.5239852398523985,0.6408450704225352,0.1831501831501831,0.070110701107011,0.3684210526315789,0.9523809523809524,0.1894218942189421,0.3831168831168831,0.864406779661017,0.2988861386138614,0.6873706004140787,0.0915841584158415,0.3378378378378378,0.2964108910891089,0.313152400835073,0.6636149257872105,0.3647284959154253,0.5188251425392852,0.5419407063197023,0.5080768703241894,0.1074474856779121,0.1608227228207639,0.0083636363636363,0.118073593073593,0.2341991341991342,6.6695263628239445,25.79765825100623,0.2358502301281254,False,20.0,6.0,0.0073179656055616,0.0109034267912772,0.0062171209947393,1629875,1610612746,2023,2022-23,True,1593.0,117.0,0.25371063947842976,13.085310779225924,114.93966911307376,115.28330019880715,20.0,77.0,112.0,,15.0,34.0,,6.0,5.0,0.545253868215948,0.2664637992072516,14.091552369016483,0.5809808770739938,0.2743592273946549,115.32898932256325,115.32898932256325,-0.002321422661779593,-0.01275315972882185,-1.0062415897905588,-0.005390030506530974,-0.010732675856608476,-0.04568912375609102,-0.3893202094894832
7155.0,119.0,37.0,251.0,254.0,71.0,47.0,30.0,505.0,59.0,73.0,17.0,18.0,21.0,25.0,13.0,46.0,11.0,21.0,4.0,20.0,,1.0,,5.0,23.0,67.0,3.0,5.0,3.0,16.0,83.0,140.0,27.0,87.0,30.0,277.0,240.0,18.0,24.0,3.0,6.0,2.0,47.0,27.0,41.0,3.0,21.0,4.0,67.0,88.0,78.0,72.0,9.0,22.0,,1.0,66.0,23.0,16.0,44.0,24.0,68.0,20.0,4.0,30.0,9.0,5.0,160.0,17.0,18.0,,52.0,46.0,1.0,99.0,35.0,134.0,3.0,20.0,10.0,10.0,20.0,8.0,12.0,17.0,1.0,8.0,1.0,37.0,2.0,9.0,15.0,30.0,,,4.0,44.0,9.0,,23.0,2.0,1.0,14.0,4.0,2.0,6.0,2.0,1.0,7.0,18.0,14.0,1.0,,,,230.0,67.0,71.0,,0.5301204819277109,0.6111111111111112,0.8888888888888888,0.3103448275862069,0.5,0.1428571428571428,0.313953488372093,0.5928571428571429,0.75,0.6585365853658537,0.5440528634361234,0.75,0.5080645161290323,0.5676229508196722,0.734375,0.5234375,0.3832599118942731,0.1142857142857142,0.0821917808219178,0.217391304347826,,0.5405405405405406,0.5,,0.6865671641791045,0.3214285714285714,0.7222222222222222,0.288135593220339,0.7050359712230215,0.3043478260869565,0.3846153846153846,0.303030303030303,0.3,0.2790697674418604,0.3125,0.5,0.7777777777777778,0.8571428571428571,0.7368421052631579,0.6666666666666666,0.03,101.63522012578616,0.7777777777777778,13.565737051792828,14.763779527559056,13.07569721115538,14.17716535433071,0.3215859030837004,0.8082191780821918,0.8805970149253731,0.5084745762711864,0.2026431718061674,0.2826086956521739,0.3611111111111111,0.6923076923076923,0.092511013215859,0.5238095238095238,0.5238095238095238,0.4545454545454545,0.0881057268722467,0.2,0.2,1.0,0.2951541850220264,0.3432835820895522,0.3432835820895522,0.8695652173913043,0.6,0.9444444444444444,0.2941176470588235,0.0333333333333333,,,0.1666666666666666,0.6,0.6666666666666666,0.4032258064516129,0.84,0.0806451612903225,,0.2580645161290322,0.1875,0.7048458149779736,0.3484848484848485,0.5316292035398231,0.5666694444444444,0.5310204918032787,0.102880658436214,0.1493506493506493,0.0224719101123595,0.1696750902527075,0.2418772563176895,6.092857142857143,26.00344827586207,0.2828685258964143,True,,,,,,1629875,1610612746,2024,2023-24,True,37.0,1.0,0.19383259911894274,14.897729102915122,110.35856573705179,94.48818897637796,1.0,1.0,,,1.0,2.0,,,1.0,0.5465359255973882,0.2443050360764876,13.715651448364268,0.5794722015079957,0.2759265026471504,115.7266485157283,115.7266485157283,-0.002483062161264815,-0.05047243695754486,1.182077654550854,-0.011849250688323543,0.02842132343980608,-21.238459539350345,-5.368082778676509
229305.0,3822.0,-306.0,7705.0,7710.0,1756.0,1974.0,928.0,15415.0,1336.0,1987.0,266.0,447.0,316.0,460.0,685.0,1653.0,255.0,606.0,284.0,753.0,30.0,79.0,47.0,165.0,743.0,2062.0,63.0,189.0,159.0,472.0,2276.0,4246.0,1027.0,2815.0,1302.0,8935.0,9241.0,340.0,627.0,93.0,268.0,148.0,1107.0,508.0,914.0,206.0,637.0,442.0,2076.0,2458.0,2094.0,2604.0,477.0,444.0,,12.0,2050.0,743.0,376.0,1229.0,868.0,2097.0,593.0,275.0,766.0,325.0,138.0,5062.0,415.0,645.0,17.0,1206.0,1278.0,126.0,2610.0,1077.0,3687.0,150.0,577.0,367.0,210.0,620.0,122.0,387.0,412.0,70.0,233.0,46.0,1032.0,94.0,215.0,787.0,1507.0,,79.0,64.0,1674.0,178.0,39.0,723.0,28.0,149.0,342.0,24.0,13.0,183.0,11.0,17.0,142.0,366.0,223.0,24.0,2.0,3.0,21.0,7828.0,2057.0,1743.0,107.0,0.5399824253075571,0.5983446932814022,0.8451801363193768,0.3648312611012433,0.3470149253731343,0.3233908948194662,0.3663931501962183,0.5360339142722562,0.5422647527910686,0.5557986870897156,0.5405041778784875,0.535754189944134,0.5267569310122502,0.5721265106711236,0.5609137055837563,0.5717054263565892,0.3986687438039937,0.0885539331135186,0.0941117262204328,0.1119177253478524,0.0066006600660066,0.6007751937984496,0.9130434782608696,0.096045197740113,0.6878363832077503,0.3323029366306028,0.7740693196405648,0.239193083573487,0.7271662763466042,0.2883569096844396,0.3777089783281733,0.3329820864067439,0.245664739884393,0.231496062992126,0.2602150537634408,0.5958466453674122,0.6887019230769231,0.83,0.78125,0.7536945812807881,0.0456343170063888,96.80382023941912,0.6092896174863388,14.647631408176508,15.103112840466926,14.077611940298508,14.53657587548638,0.2814049001557853,0.6723704076497232,0.7422222222222222,0.5733532934131736,0.2341028182976915,0.4143980641258318,0.4666212534059945,0.4744525547445255,0.0858235377425293,0.4207920792079208,0.4235880398671096,0.5411764705882353,0.1066421186800736,0.3771580345285524,0.3791722296395193,0.9683098591549296,0.2920266251239201,0.3603297769156159,0.3633251833740831,0.7981157469717362,0.4994413407821229,0.5950782997762863,0.150375939849624,0.088268156424581,0.379746835443038,0.9666666666666668,0.2111731843575419,0.3333333333333333,0.8888888888888888,0.2965828497743391,0.6869565217391305,0.1063829787234042,0.2848484848484848,0.3043197936814958,0.336864406779661,0.6800736439597791,0.3624390243902439,0.5288806202100486,0.5444494195688224,0.5236895846852689,0.0983219716832721,0.1509079524107702,0.0095170955234402,0.1238947957470621,0.2323447118074986,6.439236928874234,25.756483126110123,0.2279039584685269,False,21.0,5.0,0.0074600355239786,0.0053120849933598,0.0082444228903976,1629875,1610612746,2024,2023-24,True,1481.0,96.0,0.2370769012887693,13.31173186663502,115.96365996106424,119.85732814526588,25.0,92.0,120.0,,21.0,32.0,,4.0,8.0,0.5465359255973882,0.2443050360764876,13.715651448364268,0.5794722015079957,0.2759265026471504,115.7266485157283,115.7266485157283,-0.006031747718900693,-0.007228134787718304,-0.403919581729248,-0.0073456908368720875,0.012430407037289204,4.130679629537582,0.23701144533593776
