SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,player_on,HeaveMakes,Blocked3s,BlockedArc3,BlockedCorner3,player_id,team_id,year,season,player_vs,3pt And 1 Free Throw Trips,FoulsDrawn,Offensive Fouls Drawn,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls,Transition Take Fouls Drawn
63300.0,1055.0,3.0,2172.0,2138.0,811.0,696.0,289.0,4310.0,421.0,727.0,87.0,165.0,152.0,254.0,132.0,326.0,103.0,270.0,51.0,141.0,5.0,10.0,15.0,53.0,160.0,472.0,14.0,46.0,65.0,182.0,656.0,1323.0,211.0,613.0,438.0,2383.0,2380.0,106.0,222.0,19.0,56.0,55.0,324.0,240.0,465.0,80.0,235.0,197.0,917.0,570.0,742.0,537.0,96.0,120.0,7.0,465.0,160.0,129.0,5.0,285.0,179.0,464.0,129.0,50.0,196.0,47.0,42.0,1107.0,111.0,222.0,11.0,247.0,459.0,49.0,755.0,344.0,1099.0,39.0,163.0,96.0,67.0,174.0,38.0,116.0,158.0,21.0,58.0,26.0,332.0,32.0,118.0,248.0,473.0,2.0,30.0,28.0,564.0,47.0,14.0,239.0,6.0,52.0,106.0,69.0,3.0,34.0,107.0,51.0,10.0,3.0,7.0,4.0,2059.0,911.0,807.0,44.0,0.4344512195121951,0.4781879194630872,0.8483412322274881,0.3442088091353997,0.3392857142857143,0.3404255319148936,0.3481848184818482,0.4958427815570673,0.4774774774774775,0.5161290322580645,0.5023243801652892,0.4838129496402877,0.5142857142857142,0.54279176201373,0.5127388535031847,0.5663771712158809,0.3166322314049586,0.0081566068515497,0.0975056689342403,0.1389270976616231,0.0644171779141104,0.0259259259259259,0.0212765957446808,0.0042372881355932,0.5240963855421686,0.8596491228070176,0.1929824561403508,0.7183098591549296,0.3378995433789954,0.8178807947019867,0.2928759894459103,0.7502656748140276,0.3214285714285714,0.419672131147541,0.2774869109947644,0.2546583850931677,0.2798634812286689,0.3372093023255814,0.65748031496063,0.7085201793721974,0.8271604938271605,0.8103448275862069,0.8428571428571429,0.043046357615894,98.04739336492892,0.4766355140186916,14.410681399631676,14.967259120673528,13.635819521178638,14.388681010289991,0.3755165289256198,0.579092159559835,0.6725239616613419,0.4655581947743468,0.1683884297520661,0.4049079754601227,0.4327868852459016,0.3560606060606061,0.1394628099173553,0.3814814814814815,0.3916349809885932,0.4077669902912621,0.0728305785123966,0.3617021276595745,0.3695652173913043,0.9803921568627452,0.2438016528925619,0.3389830508474576,0.3404255319148936,0.80625,0.5935251798561151,0.5272727272727272,0.1724137931034483,0.0359712230215827,0.5,1.0,0.1654676258992805,0.3043478260869565,0.8571428571428571,0.3628571428571429,0.5984251968503937,0.0757142857142857,0.2830188679245283,0.26,0.3571428571428571,0.6921487603305785,0.3440860215053763,0.5264295124481327,0.5273034653465345,0.5151189754689754,0.1148616971401781,0.1577557755775577,0.0097087378640776,0.1359630717582878,0.3848090642047839,6.458805744520031,25.25611745513868,0.3733885819521179,True,,1.0,,1.0,203518,1610612760,2017,2016-17,False,1.0,453.0,22.0,8.0,30.0,35.0,28.0,13.0,9.0,20.0,,
174360.0,2906.0,59.0,5859.0,5870.0,1465.0,1531.0,767.0,11729.0,1199.0,1970.0,218.0,413.0,266.0,444.0,361.0,903.0,329.0,857.0,139.0,405.0,10.0,39.0,40.0,109.0,342.0,1098.0,44.0,129.0,103.0,335.0,1889.0,3730.0,481.0,1503.0,1137.0,6358.0,6299.0,280.0,570.0,54.0,168.0,171.0,893.0,392.0,782.0,143.0,444.0,430.0,1643.0,1802.0,1976.0,1068.0,375.0,294.0,13.0,1083.0,340.0,314.0,2.0,901.0,356.0,1257.0,223.0,133.0,633.0,133.0,135.0,2870.0,293.0,591.0,49.0,748.0,1314.0,165.0,2227.0,933.0,3160.0,96.0,485.0,321.0,164.0,524.0,97.0,338.0,375.0,66.0,186.0,44.0,899.0,81.0,213.0,633.0,1242.0,,89.0,60.0,1548.0,135.0,34.0,648.0,25.0,144.0,296.0,213.0,13.0,70.0,301.0,181.0,14.0,3.0,13.0,8.0,5465.0,1617.0,1450.0,102.0,0.4769719428268925,0.5172215843857635,0.7401247401247402,0.3200266134397871,0.3214285714285714,0.322072072072072,0.3214765100671141,0.5064343163538874,0.4912280701754385,0.5012787723785166,0.4988534301547869,0.489159891598916,0.4946982055464927,0.5355089617855935,0.5241176470588236,0.5482250502344274,0.2872157462258742,0.0013306719893546,0.0841823056300268,0.1253807106598984,0.0664451827242525,0.0081680280046674,0.0024691358024691,0.0009107468123861,0.5828698553948832,0.9269662921348316,0.2401960784313725,0.7291897891231964,0.3238356164383562,0.786540483701367,0.2962588473205257,0.7490010897203051,0.3141435678749111,0.3843137254901961,0.3029739776951672,0.2567049808429119,0.290633608815427,0.311787072243346,0.6561643835616439,0.7369337979094077,0.8273092369477911,0.7931972789115647,0.7638888888888888,0.0383539752297243,96.86717136958018,0.6013289036544851,14.143198498037208,15.58688245315162,13.292029356545486,14.944463373083476,0.3764570991782916,0.6086294416243655,0.6958792803250146,0.5279399499582986,0.1725587617045671,0.3997785160575858,0.428232502965599,0.3684210526315789,0.1637683928912669,0.3838973162193699,0.3870588235294118,0.4103343465045592,0.0773934645518822,0.3432098765432099,0.344059405940594,0.9568345323741008,0.2098222816739919,0.3114754098360656,0.3117593436645396,0.652046783625731,0.559620596205962,0.5278450363196125,0.1605504587155963,0.0528455284552845,0.2564102564102564,0.7,0.1747967479674796,0.3410852713178294,0.75,0.3621533442088091,0.5990990990990991,0.0889070146818923,0.3669724770642202,0.2732463295269168,0.3074626865671642,0.6636728454041658,0.3139427516158818,0.5332636259103104,0.5310570796460179,0.5316175474814205,0.1166377816291161,0.1527221305679943,0.0163719711853307,0.1404529726329034,0.258414595784838,6.776112600536188,24.99354624085162,0.2500426693975081,False,2.0,5.0,3.0,2.0,203518,1610612760,2017,2016-17,False,1.0,1239.0,44.0,12.0,123.0,102.0,44.0,43.0,24.0,61.0,,
68050.0,1134.0,42.0,2256.0,2231.0,771.0,581.0,289.0,4487.0,365.0,627.0,65.0,140.0,129.0,213.0,115.0,281.0,128.0,345.0,72.0,173.0,5.0,18.0,23.0,54.0,211.0,617.0,18.0,51.0,65.0,215.0,608.0,1253.0,283.0,790.0,433.0,2498.0,2456.0,96.0,205.0,23.0,69.0,58.0,319.0,185.0,382.0,88.0,269.0,197.0,831.0,486.0,730.0,720.0,129.0,94.0,10.0,607.0,211.0,94.0,7.0,243.0,240.0,483.0,170.0,70.0,170.0,36.0,37.0,1206.0,124.0,204.0,6.0,322.0,406.0,55.0,783.0,334.0,1117.0,55.0,200.0,140.0,60.0,165.0,36.0,103.0,142.0,16.0,62.0,22.0,307.0,25.0,121.0,220.0,509.0,,36.0,30.0,592.0,60.0,20.0,240.0,7.0,68.0,117.0,75.0,3.0,39.0,119.0,71.0,6.0,2.0,3.0,4.0,2179.0,829.0,769.0,59.0,0.3996710526315789,0.4331550802139037,0.8480565371024735,0.3582278481012658,0.3333333333333333,0.3271375464684015,0.3628205128205128,0.4852354349561053,0.4682926829268293,0.4842931937172774,0.5053842388644151,0.4762773722627737,0.4869431643625192,0.5415940766550522,0.5112179487179487,0.5349288486416559,0.3866862457170827,0.0088607594936708,0.0750199521149241,0.1004784688995215,0.092526690391459,0.0144927536231884,0.0057803468208092,0.0097244732576985,0.5374592833876222,0.9166666666666666,0.075,0.6744186046511628,0.3197492163009404,0.7612293144208038,0.259958071278826,0.7102439024390244,0.2941704035874439,0.3754789272030651,0.3414634146341463,0.2347417840375587,0.2440318302387268,0.32,0.5975103734439834,0.6891891891891891,0.7841726618705036,0.7647058823529411,0.75,0.0540275049115913,94.94900808229242,0.5966386554621849,14.71099290780142,15.62617660242044,13.95744680851064,14.96100403406544,0.3069016152716593,0.5821371610845295,0.6471631205673759,0.4657534246575342,0.1375428291727851,0.4092526690391459,0.4509803921568627,0.3130434782608696,0.1688693098384728,0.3710144927536232,0.3764705882352941,0.2890625,0.0846793930494371,0.4161849710982659,0.4186046511627907,0.9722222222222222,0.3020068526676456,0.3419773095623987,0.3453355155482815,0.8056872037914692,0.5109489051094891,0.4642857142857143,0.2,0.0656934306569343,0.2777777777777778,1.0,0.1861313868613138,0.3529411764705882,1.0,0.3271889400921659,0.6056338028169014,0.0829493087557603,0.4259259259259259,0.3302611367127496,0.3023255813953488,0.693587860988742,0.3476112026359143,0.527023658296406,0.5461513586956521,0.5288973437500002,0.1108617594254937,0.1674808094905792,0.0088050314465408,0.1277021617293835,0.3326661329063251,7.694173982442138,25.45253164556961,0.3417553191489361,True,,2.0,1.0,1.0,203518,1610612760,2018,2017-18,False,2.0,517.0,27.0,5.0,35.0,61.0,21.0,13.0,11.0,15.0,,
169910.0,2832.0,238.0,5684.0,5683.0,1509.0,1359.0,762.0,11367.0,1128.0,1788.0,249.0,421.0,289.0,456.0,286.0,724.0,368.0,965.0,160.0,445.0,15.0,41.0,50.0,122.0,438.0,1256.0,49.0,128.0,117.0,376.0,1782.0,3477.0,598.0,1701.0,988.0,6346.0,6108.0,310.0,562.0,64.0,169.0,118.0,930.0,432.0,835.0,167.0,498.0,374.0,1739.0,1550.0,2014.0,1476.0,318.0,340.0,17.0,1239.0,438.0,265.0,11.0,775.0,492.0,1267.0,337.0,155.0,550.0,121.0,104.0,3026.0,306.0,554.0,55.0,893.0,1045.0,117.0,2055.0,915.0,2970.0,125.0,543.0,352.0,191.0,465.0,98.0,305.0,374.0,54.0,160.0,41.0,839.0,98.0,195.0,477.0,1144.0,2.0,76.0,81.0,1393.0,138.0,34.0,579.0,18.0,149.0,276.0,197.0,8.0,71.0,293.0,174.0,20.0,1.0,8.0,16.0,5416.0,1726.0,1499.0,110.0,0.4349046015712682,0.4807692307692308,0.822742474916388,0.3515579071134627,0.378698224852071,0.3353413654618474,0.3551068883610451,0.5125107851596203,0.5516014234875445,0.5173652694610779,0.5173812282734647,0.5554035567715458,0.5120030007501876,0.5462562683728168,0.5684596577017115,0.5457124842370744,0.328505214368482,0.006466784244562,0.0762151279838941,0.1040268456375839,0.0828729281767955,0.0196891191709844,0.0157303370786516,0.0031847133757961,0.5542312276519666,0.9212598425196852,0.2835051546391752,0.6952761144377911,0.3291740938799762,0.8207720588235294,0.2908745247148289,0.7479737553068313,0.3144424131627056,0.4235474006116208,0.3066361556064073,0.241554054054054,0.2853437094682231,0.3060498220640569,0.6069651741293532,0.722753346080306,0.7984084880636605,0.8201970443349754,0.822463768115942,0.0507511165245635,96.33617797657584,0.5938566552901023,14.33128078817734,15.564138659158894,13.554187192118226,15.041351398909027,0.3453070683661645,0.6308724832214765,0.704119850187266,0.4875886524822695,0.1398223252220934,0.3950276243093922,0.4307228915662651,0.4230769230769231,0.1863653920432599,0.3813471502590673,0.3890063424947146,0.2826086956521739,0.085940517574353,0.3595505617977528,0.365296803652968,0.96875,0.242564696794129,0.3487261146496815,0.3498402555910543,0.769406392694064,0.5759233926128591,0.5914489311163895,0.2048192771084337,0.0560875512995896,0.3658536585365853,0.9333333333333332,0.1751025991792065,0.3828125,0.7755102040816326,0.3420855213803451,0.6337719298245614,0.09152288072018,0.4098360655737705,0.2820705176294073,0.3111702127659574,0.6738122827346466,0.3535108958837772,0.5350750388048117,0.5703431428571428,0.532420792079208,0.1059637912673056,0.1477794793261868,0.0104895104895104,0.1465490072486605,0.2740308855972266,7.626747195858499,25.263374485596717,0.2654820548909218,False,,17.0,14.0,3.0,203518,1610612760,2018,2017-18,False,3.0,1230.0,65.0,16.0,89.0,124.0,38.0,24.0,29.0,24.0,,
35292.0,588.0,29.0,1245.0,1241.0,414.0,447.0,157.0,2486.0,236.0,384.0,47.0,79.0,72.0,118.0,69.0,190.0,51.0,145.0,29.0,95.0,3.0,9.0,6.0,33.0,97.0,303.0,8.0,27.0,31.0,101.0,356.0,719.0,126.0,398.0,211.0,1301.0,1272.0,54.0,103.0,11.0,36.0,32.0,173.0,104.0,216.0,37.0,134.0,96.0,415.0,296.0,416.0,294.0,84.0,68.0,8.0,294.0,96.0,53.0,3.0,148.0,98.0,246.0,70.0,28.0,109.0,22.0,17.0,590.0,58.0,113.0,10.0,194.0,234.0,32.0,460.0,181.0,641.0,25.0,122.0,76.0,46.0,95.0,22.0,61.0,86.0,14.0,34.0,6.0,181.0,20.0,57.0,122.0,299.0,,23.0,23.0,307.0,27.0,4.0,130.0,3.0,31.0,77.0,47.0,4.0,26.0,78.0,50.0,7.0,,1.0,5.0,1128.0,415.0,414.0,39.0,0.4157303370786517,0.4596273291925465,0.7777777777777778,0.3165829145728643,0.3055555555555556,0.2761194029850746,0.3205128205128205,0.4951321279554937,0.5242718446601942,0.4814814814814814,0.4879140555058192,0.5071942446043165,0.4557142857142857,0.5179425837320574,0.5372670807453416,0.5,0.3563115487914055,0.007537688442211,0.0737134909596662,0.09375,0.0842105263157894,0.0068965517241379,,0.0099009900990099,0.5248618784530387,0.8648648648648649,0.2439024390243902,0.6628895184135978,0.3183098591549296,0.7918367346938775,0.2248062015503876,0.7157190635451505,0.2789559543230016,0.3972602739726027,0.3277310924369748,0.1777777777777777,0.2268041237113402,0.21875,0.577922077922078,0.71875,0.7464788732394366,0.8121546961325967,0.734375,0.0448028673835125,101.4348860931656,0.6410256410256411,13.510843373493977,14.883964544721998,12.90843373493976,14.20467365028203,0.3437779767233662,0.6145833333333334,0.6781609195402298,0.461864406779661,0.1700984780662489,0.3631578947368421,0.396551724137931,0.3188405797101449,0.1298119964189794,0.3517241379310344,0.3541666666666667,0.3333333333333333,0.0850492390331244,0.3052631578947368,0.3052631578947368,0.9655172413793104,0.2712623097582811,0.3201320132013201,0.3233333333333333,0.7216494845360825,0.5683453237410072,0.5949367088607594,0.2127659574468085,0.0647482014388489,0.3333333333333333,1.0,0.1942446043165467,0.2962962962962963,0.75,0.3371428571428571,0.6101694915254238,0.0942857142857142,0.1818181818181818,0.2885714285714286,0.3069306930693069,0.7000895255147717,0.3265306122448979,0.5266758791704237,0.545993203883495,0.5188918367346937,0.1087489779231398,0.1581508515815085,0.0074812967581047,0.1329746348962336,0.3189853958493466,6.58164116828929,25.64522613065327,0.3325301204819277,True,1.0,1.0,,1.0,203518,1610612760,2019,2018-19,False,,296.0,31.0,4.0,24.0,29.0,,7.0,9.0,,,
202968.0,3383.0,250.0,7220.0,7212.0,1947.0,2252.0,930.0,14432.0,1485.0,2395.0,259.0,462.0,380.0,586.0,436.0,1146.0,288.0,769.0,243.0,631.0,35.0,73.0,53.0,163.0,563.0,1648.0,63.0,168.0,157.0,502.0,2209.0,4310.0,806.0,2279.0,1250.0,8086.0,7836.0,332.0,636.0,98.0,241.0,143.0,1101.0,528.0,988.0,210.0,665.0,541.0,2227.0,2020.0,2398.0,1983.0,435.0,354.0,15.0,1632.0,562.0,339.0,20.0,1010.0,661.0,1671.0,430.0,231.0,758.0,176.0,76.0,4003.0,369.0,657.0,52.0,1096.0,1336.0,178.0,2610.0,1078.0,3688.0,145.0,644.0,415.0,229.0,577.0,116.0,393.0,384.0,55.0,184.0,34.0,961.0,109.0,233.0,649.0,1540.0,2.0,103.0,82.0,1742.0,183.0,49.0,727.0,26.0,180.0,337.0,252.0,3.0,82.0,347.0,206.0,13.0,3.0,5.0,3.0,6985.0,2200.0,1932.0,186.0,0.457220461747397,0.4970472440944882,0.8200992555831266,0.3536638876700307,0.4066390041493776,0.3157894736842105,0.3555653710247349,0.5125290023201856,0.5220125786163522,0.5344129554655871,0.5187433601456973,0.5461801596351197,0.5099818511796733,0.5488270594653574,0.5688405797101449,0.5554440541896638,0.3458794961299135,0.0087757788503729,0.0786542923433874,0.0935281837160751,0.0916230366492146,0.0130039011703511,0.0079239302694136,0.0091019417475728,0.6004162330905307,0.898989898989899,0.2007722007722007,0.7125333333333334,0.3145045476304451,0.8017556693489393,0.258765778401122,0.7501542257865516,0.2918918918918919,0.3882743362831858,0.2984441301272984,0.1987447698744769,0.231578947368421,0.3333333333333333,0.64947245017585,0.7315875613747954,0.8150851581508516,0.811284046692607,0.7728613569321534,0.045900601456157,102.39091876551969,0.5936599423631124,13.067036011080331,15.061564059900167,12.388781163434905,14.526622296173043,0.3634845955380179,0.6200417536534447,0.684016582220175,0.5104377104377105,0.1739262407042039,0.3804537521815008,0.4188280499519692,0.4036697247706422,0.1167096676278646,0.3745123537061118,0.3794466403162055,0.2638888888888889,0.0957656700561541,0.3851030110935023,0.3881789137380191,0.9506172839506172,0.2501138260737593,0.341626213592233,0.3447642375995101,0.7637655417406749,0.5267958950969214,0.5606060606060606,0.2355212355212355,0.0832383124287343,0.4794520547945205,0.8285714285714286,0.1915621436716077,0.375,0.746031746031746,0.3545069570477919,0.6484641638225256,0.0986085904416212,0.3251533742331288,0.3036902601330913,0.3127490039840637,0.7093640916679314,0.3443627450980392,0.5357505023595677,0.5404507763975154,0.5373805250305251,0.1052852348993288,0.149773382777091,0.011314186248912,0.1361612663863467,0.2754142963146178,6.29136890951276,25.202018429135588,0.2696675900277008,False,1.0,10.0,6.0,4.0,203518,1610612760,2019,2018-19,False,7.0,1548.0,129.0,20.0,87.0,157.0,,41.0,38.0,,,
