SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,player_on,HeaveMakes,Blocked3s,BlockedArc3,BlockedCorner3,player_id,team_id,year,season,player_vs,3pt And 1 Free Throw Trips,FoulsDrawn,Offensive Fouls Drawn,FTA_Rate,TOV%,ortg,drtg,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls,Transition Take Fouls Drawn,aEfgPct,aFTA_Rate,aTOV%,aTsPct,aOffFGReboundPct,adrtg,aortg,rEfgPct,rFTA_Rate,rTOV%,rTsPct,rOffFGReboundPct,rdrtg,rortg
14689.0,245.0,-88.0,449.0,464.0,149.0,169.0,64.0,913.0,67.0,117.0,16.0,31.0,17.0,39.0,19.0,70.0,44.0,126.0,8.0,22.0,1.0,5.0,2.0,9.0,19.0,58.0,2.0,5.0,6.0,16.0,130.0,313.0,27.0,80.0,83.0,424.0,512.0,19.0,48.0,3.0,10.0,14.0,61.0,38.0,106.0,8.0,25.0,32.0,132.0,146.0,114.0,72.0,9.0,20.0,2.0,56.0,19.0,27.0,1.0,73.0,24.0,97.0,16.0,8.0,36.0,9.0,28.0,218.0,12.0,63.0,1.0,40.0,105.0,12.0,157.0,76.0,233.0,5.0,40.0,23.0,17.0,38.0,8.0,23.0,39.0,8.0,15.0,3.0,77.0,10.0,28.0,40.0,108.0,,15.0,11.0,114.0,10.0,5.0,48.0,,12.0,30.0,17.0,3.0,10.0,30.0,18.0,4.0,,2.0,2.0,363.0,132.0,149.0,15.0,0.5615384615384615,0.6083333333333333,0.8888888888888888,0.3375,0.3,0.32,0.3461538461538461,0.4153354632587859,0.3958333333333333,0.3584905660377358,0.4338422391857506,0.4051724137931034,0.3816793893129771,0.4729119638826185,0.4477611940298507,0.4193548387096774,0.2035623409669211,0.0125,0.0862619808306709,0.1282051282051282,0.1571428571428571,0.0079365079365079,,0.0172413793103448,0.4935064935064935,0.7058823529411765,0.0476190476190476,0.6176470588235294,0.3480662983425414,0.7547169811320755,0.25,0.6502242152466368,0.3275109170305676,0.3333333333333333,0.3137254901960784,0.3780487804878049,0.2352941176470588,0.2857142857142857,0.6271186440677966,0.5227272727272727,0.6716417910447762,0.7567567567567568,0.75,0.0248756218905472,89.50371025937777,0.6,16.688195991091312,15.508620689655173,15.648106904231623,14.663793103448276,0.2977099236641221,0.5726495726495726,0.6568627450980392,0.5373134328358209,0.178117048346056,0.2714285714285714,0.3220338983050847,0.4736842105263157,0.3206106870229007,0.3492063492063492,0.352,0.6363636363636364,0.0559796437659033,0.3636363636363636,0.3636363636363636,1.0,0.1475826972010178,0.3275862068965517,0.3333333333333333,0.8421052631578947,0.5344827586206896,0.5161290322580645,0.1875,0.0862068965517241,0.2,1.0,0.0862068965517241,0.4,1.0,0.2977099236641221,0.4358974358974359,0.0687022900763358,0.2222222222222222,0.1221374045801526,0.375,0.5012722646310432,0.3392857142857143,0.4872382051282051,0.5193156862745097,0.4695853846153845,0.111368909512761,0.1367521367521367,,0.1438679245283018,0.3113207547169811,9.65143769968051,25.68125,0.33184855233853,True,,,,,2257,1610612757,2002,2001-02,False,,,,0.2900763358778626,17.33609510086455,94.43207126948775,110.34482758620689,,,,,,,,,,0.4771321980927544,0.2931238778245189,15.733915359167591,0.5166087442918187,0.31466572661706,104.24667346207885,104.24667346207885,-0.04328995890700382,-0.003047541946656296,1.6021797416969594,-0.043696780409200164,0.012845190413507623,6.098154124128044,-9.814602192591096
223271.0,3721.0,333.0,6935.0,6929.0,1674.0,1555.0,983.0,13864.0,1230.0,2024.0,299.0,514.0,264.0,430.0,402.0,1114.0,776.0,1902.0,103.0,263.0,14.0,35.0,24.0,64.0,336.0,975.0,33.0,99.0,101.0,312.0,2408.0,5040.0,439.0,1238.0,1368.0,7501.0,7168.0,414.0,823.0,47.0,134.0,195.0,1164.0,505.0,1022.0,125.0,376.0,554.0,1939.0,2908.0,1908.0,1125.0,192.0,448.0,18.0,957.0,336.0,380.0,2.0,1454.0,375.0,1829.0,278.0,97.0,726.0,200.0,528.0,4033.0,241.0,927.0,22.0,528.0,1791.0,179.0,2498.0,1190.0,3688.0,141.0,662.0,400.0,262.0,574.0,143.0,347.0,521.0,73.0,227.0,46.0,1095.0,102.0,211.0,655.0,1505.0,5.0,101.0,140.0,1787.0,162.0,71.0,719.0,6.0,211.0,324.0,174.0,41.0,109.0,338.0,216.0,24.0,4.0,17.0,29.0,6337.0,1939.0,1674.0,179.0,0.6038205980066446,0.6657509157509157,0.8542141230068337,0.3546042003231018,0.3507462686567164,0.3324468085106383,0.3598360655737705,0.4777777777777778,0.503037667071689,0.4941291585127201,0.4884517362217266,0.5062695924764891,0.4953505007153075,0.5277304964539007,0.5385329619312906,0.5552023121387283,0.197196559413826,0.0016155088852988,0.0753968253968253,0.1210474308300395,0.1023339317773788,0.0110410094637223,0.0038022813688212,0.001025641025641,0.5242009132420091,0.8689320388349514,0.1134020618556701,0.7059519117067402,0.3554447852760736,0.7374301675977654,0.3187830687830688,0.7128804180756225,0.347205707491082,0.4503816793893129,0.3531073446327684,0.2899461400359066,0.3216666666666666,0.3076923076923077,0.6371951219512195,0.689280868385346,0.7561188811188811,0.7378277153558053,0.7362637362637363,0.0472520107238605,89.41671780034129,0.6390532544378699,16.328046142754147,15.880502236975031,15.3577505407354,15.116178380718718,0.3223956674100032,0.607707509881423,0.6913996627318718,0.5902439024390244,0.1774450461930551,0.3608617594254937,0.402,0.4975124378109453,0.3029627269831156,0.4079915878023133,0.4125465178096757,0.6804123711340206,0.0418923223956674,0.3916349809885932,0.3931297709923664,0.941747572815534,0.1553042370181586,0.3446153846153846,0.3449691991786447,0.8273809523809523,0.5370950888192267,0.5817120622568094,0.2073578595317725,0.0365726227795193,0.4,1.0,0.1034482758620689,0.3333333333333333,0.8787878787878788,0.3075822603719599,0.6139534883720931,0.0457796852646638,0.375,0.223175965665236,0.3237179487179487,0.5195922268238292,0.3510971786833856,0.4858717106314948,0.5086451053283767,0.4788500362844703,0.1060096505337037,0.1284616758978023,0.0048309178743961,0.1551793094254099,0.2584988668177576,9.180376984126983,25.177705977382868,0.2413842826243691,False,,14.0,12.0,2.0,2257,1610612757,2002,2001-02,False,2.0,,,0.28464479133482,15.711809541301253,108.16149963950973,103.44927117910233,,,,,,,,,,0.4771321980927544,0.2931238778245189,15.733915359167591,0.5166087442918187,0.31466572661706,104.24667346207885,104.24667346207885,0.011319538128972184,-0.008479086489698862,-0.02210581786633803,0.011121752162082,0.03253998087402199,-0.7974022829765204,3.914826177430882
281.0,5.0,2.0,11.0,11.0,9.0,11.0,1.0,22.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,2.0,4.0,1.0,2.0,4.0,11.0,9.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,2.0,2.0,7.0,2.0,2.0,3.0,,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,1.0,,2.0,2.0,,4.0,1.0,5.0,,2.0,2.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,6.0,,,1.0,,2.0,,,,,,,,,,,9.0,7.0,9.0,,0.5,0.5,1.0,0.5,,0.5,0.5,0.5,1.0,0.5,0.5833333333333334,1.0,0.625,0.6111111111111112,1.0,0.5833333333333334,0.3333333333333333,,0.25,,0.5,,,,1.0,,,0.5,0.5,1.0,,0.6666666666666666,0.3333333333333333,,0.5,,,,,,0.6666666666666666,1.0,,,112.74021352313169,,12.181818181818182,13.363636363636363,11.909090909090908,11.363636363636363,0.1666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,0.1666666666666666,1.0,1.0,,0.1666666666666666,,,,0.1666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.25,,0.25,1.0,0.5,1.0,0.4119083333333333,0.3458,0.4304625,0.1428571428571428,0.2,,0.1818181818181818,0.6363636363636364,9.45,24.45,0.8181818181818182,True,,,,,2257,1610612757,2003,2002-03,False,,,,1.0,11.574074074074073,100.0,81.81818181818181,,,,,,,,,,0.4738820148977924,0.3024428839877361,16.15291603289301,0.5154057057829378,0.3111318829106378,103.27687641599064,103.27687641599064,0.10945131843554096,0.6975571160122639,-4.578841958818938,0.0957054053281734,0.0222014504226955,-21.45869459780883,-3.2768764159906425
237942.0,3966.0,212.0,7383.0,7380.0,1970.0,1688.0,987.0,14763.0,1358.0,2166.0,283.0,501.0,319.0,509.0,579.0,1428.0,669.0,1743.0,100.0,282.0,14.0,35.0,34.0,84.0,278.0,866.0,20.0,67.0,73.0,287.0,2606.0,5337.0,378.0,1148.0,1446.0,7792.0,7580.0,401.0,817.0,34.0,102.0,202.0,1106.0,595.0,1245.0,107.0,371.0,552.0,2063.0,3050.0,2162.0,999.0,135.0,450.0,30.0,835.0,277.0,387.0,3.0,1525.0,333.0,1858.0,241.0,92.0,846.0,278.0,401.0,4049.0,222.0,913.0,30.0,589.0,1837.0,181.0,2607.0,1165.0,3772.0,138.0,723.0,414.0,309.0,682.0,153.0,430.0,566.0,86.0,252.0,68.0,1248.0,123.0,302.0,674.0,1634.0,4.0,132.0,134.0,1941.0,165.0,69.0,796.0,8.0,212.0,302.0,194.0,23.0,85.0,316.0,174.0,14.0,2.0,24.0,28.0,6686.0,2063.0,1970.0,176.0,0.5851880276285495,0.6404871902561948,0.8809523809523809,0.3292682926829268,0.3333333333333333,0.2884097035040431,0.3372093023255814,0.4882893011054899,0.4908200734394125,0.4779116465863454,0.4892829606784888,0.4918389553862894,0.4675123762376237,0.5269938650306748,0.5282026768642447,0.52217125382263,0.177023901310717,0.0026132404181184,0.072512647554806,0.1126500461680517,0.0777310924369747,0.0183591508892713,0.0035460992907801,0.0023094688221709,0.5464743589743589,0.900497512437811,0.1224489795918367,0.6786110084964906,0.3391530460624071,0.7436868686868687,0.3144475920679886,0.6933409545584452,0.3340200117716304,0.4444444444444444,0.3297491039426523,0.2666034155597723,0.3098859315589353,0.3277777777777778,0.5883905013192612,0.6874115983026874,0.7286634460547504,0.75,0.728448275862069,0.0457711442786069,89.344125879416,0.5506329113924051,16.228362454286874,16.00650406504065,15.33712582960856,15.21788617886179,0.3340015420200463,0.6269621421975993,0.7065556711758585,0.6229749631811488,0.2202004626060139,0.4054621848739496,0.4396355353075171,0.4801381692573402,0.2687740940632228,0.3838209982788296,0.390999415546464,0.5994020926756353,0.0434849653045489,0.3546099290780142,0.3558718861209964,0.92,0.1335389360061681,0.3210161662817552,0.3217592592592592,0.8669064748201439,0.545157780195865,0.564870259481038,0.1872791519434629,0.0380848748639825,0.4,0.9285714285714286,0.0729053318824809,0.2985074626865671,0.9,0.3149752475247525,0.6267190569744597,0.0519801980198019,0.4047619047619047,0.1775990099009901,0.2543554006968641,0.5110254433307633,0.3317365269461078,0.4859039075825713,0.4979488219895286,0.4745023629489601,0.1128737891337919,0.1333780160857909,0.0069264069264069,0.1419404517453798,0.2647587268993839,8.422184747985755,25.3086236933798,0.2668292022213192,False,1.0,14.0,7.0,7.0,2257,1610612757,2003,2002-03,False,1.0,,,0.2993060909791827,16.814784075537183,105.5397534877421,102.710027100271,,,,,,,,,,0.4738820148977924,0.3024428839877361,16.15291603289301,0.5154057057829378,0.3111318829106378,103.27687641599064,103.27687641599064,0.015400945780696396,-0.003136793008553407,0.6618680426441728,0.01158815924773704,0.022888128860992563,-0.5668493157196366,2.2628770717514612
1498.0,25.0,-18.0,48.0,48.0,27.0,27.0,6.0,96.0,7.0,13.0,2.0,3.0,5.0,8.0,5.0,16.0,4.0,12.0,,1.0,,,,1.0,1.0,2.0,,,,1.0,16.0,41.0,1.0,3.0,8.0,43.0,61.0,4.0,7.0,,,1.0,9.0,9.0,22.0,,2.0,5.0,23.0,18.0,14.0,3.0,,6.0,,2.0,1.0,3.0,,9.0,1.0,10.0,1.0,,3.0,2.0,4.0,21.0,,7.0,1.0,2.0,8.0,1.0,11.0,8.0,19.0,3.0,1.0,1.0,,3.0,2.0,2.0,3.0,1.0,1.0,,6.0,1.0,4.0,6.0,10.0,,,,10.0,,,4.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,34.0,23.0,27.0,2.0,0.5625,0.6923076923076923,1.0,0.3333333333333333,,,0.3333333333333333,0.3902439024390244,0.5714285714285714,0.4090909090909091,0.3977272727272727,0.5714285714285714,0.375,0.4387755102040816,0.5625,0.4259259259259259,0.0681818181818181,,0.073170731707317,0.1538461538461538,,0.0833333333333333,,,0.5,1.0,1.0,0.6153846153846154,0.28,0.6666666666666666,,0.625,0.2592592592592592,0.5,0.1818181818181818,0.25,,,,1.0,0.5,1.0,,0.125,92.283044058745,,15.0625,16.145833333333332,14.291666666666666,15.604166666666666,0.2954545454545454,0.5384615384615384,0.6363636363636364,0.4285714285714285,0.3636363636363636,0.3125,0.3125,0.4,0.2727272727272727,0.3333333333333333,0.3636363636363636,1.0,0.0227272727272727,,,,0.0454545454545454,0.5,0.5,1.0,0.4285714285714285,0.6666666666666666,,,,,,,,0.3333333333333333,0.625,0.0416666666666666,,0.0416666666666666,,0.3636363636363636,0.5,0.4570056818181818,0.5257714285714286,0.47960625,0.0833333333333333,0.0888888888888888,,0.2093023255813953,0.5348837209302325,8.809756097560976,23.933333333333337,0.5625,True,,,,,2257,1610612757,2004,2003-04,False,,,,0.22727272727272727,12.931034482758621,89.58333333333333,127.08333333333333,,,,,,,,,,0.4710989815756337,0.3032723402685943,16.40032340015315,0.5124589615829336,0.3135305924496048,102.5378226525025,102.5378226525025,-0.07337170884836097,-0.07599961299586702,-3.4692889173945307,-0.07368345137885196,-0.054271333190345605,24.54551068083083,-12.95448931916917
238262.0,3971.0,-86.0,7163.0,7155.0,1670.0,1598.0,1008.0,14318.0,1204.0,2041.0,319.0,550.0,268.0,458.0,614.0,1474.0,683.0,1809.0,78.0,214.0,7.0,18.0,16.0,54.0,302.0,885.0,28.0,76.0,67.0,232.0,2501.0,5324.0,380.0,1099.0,1255.0,7397.0,7483.0,440.0,853.0,35.0,94.0,192.0,1177.0,519.0,1111.0,83.0,286.0,473.0,1760.0,2858.0,2144.0,987.0,153.0,546.0,16.0,869.0,302.0,380.0,7.0,1429.0,329.0,1758.0,253.0,76.0,667.0,319.0,443.0,3845.0,182.0,979.0,27.0,522.0,1851.0,167.0,2540.0,1188.0,3728.0,131.0,612.0,345.0,267.0,654.0,107.0,383.0,553.0,67.0,271.0,64.0,1207.0,127.0,264.0,650.0,1544.0,3.0,98.0,146.0,1718.0,151.0,56.0,732.0,8.0,162.0,427.0,310.0,25.0,92.0,442.0,265.0,22.0,5.0,27.0,22.0,6220.0,1760.0,1670.0,157.0,0.5713714514194322,0.6413824057450629,0.8657894736842106,0.3457688808007279,0.3723404255319149,0.2902097902097902,0.3508771929824561,0.4697595792637115,0.5158264947245017,0.4671467146714671,0.4781254865327728,0.5200633579725449,0.4606299212598425,0.5126149986060775,0.550187617260788,0.5198577356253705,0.1711038455550365,0.0063694267515923,0.0713749060856498,0.1195492405683488,0.0712347354138398,0.0171365395245992,0.014018691588785,0.0045197740112994,0.5418392709196355,0.8520408163265306,0.1238532110091743,0.6723574282600799,0.3526657060518732,0.6823529411764706,0.2753403933434191,0.6745309835133598,0.3377945883037532,0.4678787878787879,0.3250296559905101,0.2879061371841155,0.2711864406779661,0.2923076923076923,0.5899357601713062,0.6768377253814147,0.7395264116575592,0.6777163904235728,0.6936936936936937,0.0427545691906005,86.53465512754866,0.5995475113122172,17.36018428032947,15.920475192173305,16.438922239285215,15.062753319357093,0.3177642846022108,0.589906908378246,0.6700055648302726,0.5539867109634552,0.229487778296746,0.4165535956580732,0.4485025566106647,0.5195439739413681,0.2816440915460065,0.3775566611387507,0.3841394825646794,0.6486090775988287,0.0333177642846022,0.3644859813084112,0.3696682464454976,0.9743589743589745,0.1377860812704343,0.3412429378531073,0.3427922814982974,0.8377483443708609,0.5807814149947201,0.58,0.1504702194357366,0.0190073917634635,0.3888888888888889,1.0,0.0802534318901795,0.3684210526315789,0.8571428571428571,0.3278453829634932,0.5851528384279476,0.0386542591267,0.2962962962962963,0.1660701503221188,0.2887931034482758,0.4888681301572474,0.3475258918296893,0.4749776632302406,0.5068168292682927,0.4681748732802318,0.105533371363377,0.1239627434377646,0.007226738934056,0.1591185615790185,0.237934297688252,8.673948159278742,25.228207461328463,0.2331425380427195,False,,15.0,11.0,4.0,2257,1610612757,2004,2003-04,False,,,,0.267476257200685,16.768733189588104,103.26678765880217,104.5842068483578,10.0,,,,,,,,,0.4710989815756337,0.3032723402685943,16.40032340015315,0.5124589615829336,0.3135305924496048,102.5378226525025,102.5378226525025,0.007026504957139135,-0.03579608306790927,0.36840978943495273,0.00015603702314392898,0.0242639958541484,2.046384195855296,0.7289650062996742
