SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,player_on,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,player_id,team_id,year,season,player_vs,FoulsDrawn,Offensive Fouls Drawn,FTA_Rate,TOV%,ortg,drtg,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls,Transition Take Fouls Drawn,aEfgPct,aFTA_Rate,aTOV%,aTsPct,aOffFGReboundPct,adrtg,aortg,rEfgPct,rFTA_Rate,rTOV%,rTsPct,rOffFGReboundPct,rdrtg,rortg
27620.0,460.0,58.0,915.0,904.0,412.0,310.0,113.0,1819.0,152.0,258.0,41.0,70.0,69.0,112.0,70.0,182.0,100.0,228.0,6.0,26.0,,1.0,2.0,12.0,29.0,101.0,1.0,8.0,18.0,52.0,322.0,668.0,35.0,127.0,186.0,935.0,877.0,53.0,111.0,1.0,9.0,22.0,131.0,133.0,280.0,20.0,64.0,97.0,423.0,344.0,300.0,84.0,21.0,70.0,,5.0,96.0,29.0,45.0,172.0,28.0,200.0,22.0,6.0,80.0,33.0,59.0,428.0,22.0,121.0,2.0,81.0,228.0,16.0,325.0,145.0,470.0,16.0,89.0,58.0,31.0,84.0,19.0,57.0,65.0,4.0,27.0,7.0,149.0,7.0,65.0,98.0,217.0,,8.0,16.0,264.0,21.0,8.0,94.0,,45.0,39.0,2.0,,14.0,2.0,3.0,22.0,41.0,23.0,3.0,2.0,2.0,1.0,804.0,423.0,412.0,30.0,0.5341614906832298,0.5993031358885017,0.8,0.2755905511811024,0.1111111111111111,0.3125,0.2868852459016393,0.4820359281437126,0.4774774774774775,0.475,0.4710691823899371,0.4541666666666666,0.4738372093023256,0.5082146768893757,0.4851851851851851,0.51338199513382,0.1597484276729559,0.0673652694610778,0.0736434108527131,0.1043956043956044,0.0307017543859649,0.5637583892617449,0.8,0.0555555555555555,0.7080745341614907,0.3558823529411765,0.7788461538461539,0.2682926829268293,0.7253521126760564,0.3388625592417061,0.4285714285714285,0.3761467889908257,0.2777777777777778,0.2539682539682539,0.3157894736842105,0.6,0.7456140350877193,0.7318840579710145,0.8024691358024691,0.6956521739130435,0.0424403183023872,94.8356263577118,0.5609756097560976,15.589071038251364,14.77433628318584,14.783606557377048,14.099557522123892,0.3245283018867924,0.5891472868217055,0.6359832635983264,0.5263157894736842,0.2289308176100629,0.3846153846153846,0.4294478527607362,0.4714285714285714,0.2867924528301886,0.4385964912280701,0.4524886877828054,0.59,0.0327044025157232,0.2307692307692307,0.24,1.0,0.1270440251572327,0.2871287128712871,0.29,0.7586206896551724,0.5833333333333334,0.5857142857142857,0.0975609756097561,0.0083333333333333,,,0.0666666666666666,0.125,1.0,0.3255813953488372,0.6160714285714286,0.0348837209302325,0.1666666666666666,0.1511627906976744,0.3461538461538461,0.4842767295597484,0.3020833333333333,0.4705779467680608,0.4930688679245281,0.46716375739645,0.108294930875576,0.126855600539811,,0.1401069518716577,0.4524064171122994,8.6687125748503,25.86929133858268,0.4502732240437158,True,2.0,,0.0157480314960629,0.0384615384615384,0.0099009900990099,1895,1610612750,2001,2000-01,True,,,0.3320754716981132,16.281306001136414,102.18579234972678,97.01327433628319,,,,,,,,,,0.472843100425745,0.3085503798313715,16.26319151292137,0.5137142857142857,0.3108004742417868,102.71433843125999,102.71433843125999,-0.0017739180358078976,0.023525091866741676,0.018114488215044133,-0.005499608824909963,0.0280620849999193,-5.7010640949768,-0.5285460815332073
210340.0,3506.0,-169.0,6672.0,6695.0,2014.0,1619.0,839.0,13367.0,1127.0,1880.0,244.0,435.0,313.0,539.0,489.0,1351.0,689.0,1693.0,78.0,185.0,8.0,20.0,28.0,70.0,237.0,684.0,21.0,80.0,71.0,231.0,2305.0,4924.0,315.0,869.0,1381.0,6936.0,7105.0,356.0,715.0,29.0,100.0,165.0,964.0,602.0,1281.0,99.0,301.0,711.0,2212.0,2742.0,1868.0,789.0,156.0,418.0,,19.0,665.0,237.0,404.0,1371.0,263.0,1634.0,186.0,77.0,669.0,252.0,450.0,3531.0,146.0,833.0,29.0,304.0,1907.0,133.0,2344.0,1008.0,3352.0,118.0,494.0,307.0,187.0,598.0,121.0,399.0,499.0,52.0,199.0,61.0,1097.0,89.0,306.0,586.0,1438.0,1.0,94.0,127.0,1900.0,178.0,56.0,741.0,8.0,257.0,309.0,7.0,3.0,170.0,4.0,26.0,113.0,316.0,179.0,30.0,8.0,26.0,13.0,5972.0,2212.0,2014.0,185.0,0.5947939262472886,0.6541030534351145,0.834920634920635,0.3624856156501726,0.29,0.3289036544850498,0.3705882352941176,0.4681153533712429,0.4979020979020979,0.4699453551912568,0.4794579665113067,0.4901840490797546,0.4743994943109987,0.5202386346473342,0.5228260869565218,0.5454771371769384,0.1500086311065078,0.0820471161657189,0.1212765957446808,0.1073279052553664,0.0183106910809214,0.545123062898815,0.8525641025641025,0.116,0.6822898032200357,0.3219945883262466,0.6924829157175398,0.2840466926070039,0.6836734693877551,0.3157046114156723,0.4341397849462365,0.3050647820965842,0.2525150905432595,0.2860635696821516,0.2761904761904762,0.5810344827586207,0.711340206185567,0.7071535022354695,0.6981132075471698,0.6776859504132231,0.0436875231395779,91.51126747171249,0.5664556962025317,16.162470023980816,15.310530246452576,15.410071942446043,14.349962658700523,0.3245296046953219,0.5994680851063829,0.6822033898305084,0.5936113575865128,0.2332124978422233,0.3619541080680977,0.4054726368159204,0.5153374233128835,0.2922492663559468,0.4069698759598346,0.414560770156438,0.6531204644412192,0.0319350940790609,0.4216216216216216,0.4239130434782608,0.9871794871794872,0.1180735370274469,0.3464912280701754,0.3485294117647058,0.7848101265822784,0.5337423312883436,0.5609195402298851,0.1557377049180328,0.0245398773006134,0.4,0.875,0.0981595092024539,0.2625,0.8571428571428571,0.3407079646017699,0.5807050092764379,0.0442477876106194,0.4,0.1460176991150442,0.3073593073593073,0.4745382358018298,0.356390977443609,0.4743070178478598,0.4958392361111111,0.4722845169545745,0.1176932746700188,0.1350464734827774,0.0091220068415051,0.1389850057670127,0.3189158016147635,8.68582453290008,25.56536248561564,0.3018585131894484,False,5.0,,0.0057537399309551,0.0054054054054054,0.0058479532163742,1895,1610612750,2001,2000-01,True,,,0.32798204729846364,16.329264662101817,103.9568345323741,106.12397311426437,,,,,,,,,,0.472843100425745,0.3085503798313715,16.26319151292137,0.5137142857142857,0.3108004742417868,102.71433843125999,102.71433843125999,0.006614866085561666,0.01943166746709213,0.06607314918044693,0.0065243489330485405,0.004904137173885492,3.409634683004384,1.2424961011141136
15616.0,260.0,19.0,495.0,497.0,137.0,162.0,67.0,992.0,82.0,140.0,23.0,31.0,22.0,39.0,36.0,85.0,46.0,123.0,11.0,32.0,,,,8.0,17.0,57.0,3.0,6.0,4.0,20.0,164.0,348.0,28.0,89.0,98.0,510.0,491.0,31.0,49.0,3.0,6.0,14.0,85.0,39.0,90.0,4.0,28.0,33.0,123.0,204.0,124.0,78.0,6.0,36.0,,4.0,53.0,17.0,30.0,102.0,26.0,128.0,15.0,11.0,44.0,23.0,35.0,282.0,11.0,55.0,6.0,35.0,126.0,9.0,170.0,72.0,242.0,6.0,39.0,27.0,12.0,31.0,10.0,22.0,38.0,5.0,9.0,5.0,69.0,7.0,22.0,39.0,98.0,2.0,7.0,7.0,148.0,12.0,4.0,62.0,1.0,15.0,29.0,1.0,1.0,16.0,,7.0,6.0,30.0,17.0,1.0,,1.0,,425.0,123.0,137.0,12.0,0.6219512195121951,0.6986301369863014,0.9285714285714286,0.3146067415730337,0.5,0.1428571428571428,0.3294117647058823,0.4712643678160919,0.6326530612244898,0.4333333333333333,0.4713958810068649,0.6454545454545455,0.3813559322033898,0.5059760956175299,0.6343283582089553,0.4330985915492957,0.2036613272311213,0.0862068965517241,0.1357142857142857,0.1058823529411764,0.016260162601626,0.4492753623188406,0.9,0.2,0.6847826086956522,0.3038674033149171,0.5737704918032787,0.2,0.6571428571428571,0.2796610169491525,0.4210526315789473,0.2653061224489796,0.24,0.2352941176470588,0.1428571428571428,0.5555555555555556,0.6304347826086957,0.7741935483870968,0.5714285714285714,0.5833333333333334,0.029126213592233,91.47540983606558,0.5666666666666667,16.115151515151513,15.370221327967808,15.426262626262629,14.482897384305836,0.3203661327231121,0.5857142857142857,0.6776859504132231,0.5365853658536586,0.1945080091533181,0.4235294117647059,0.4736842105263157,0.6388888888888888,0.2814645308924485,0.3739837398373983,0.3801652892561983,0.7608695652173914,0.0732265446224256,0.34375,0.3548387096774194,1.0,0.1304347826086956,0.2982456140350877,0.2982456140350877,0.8823529411764706,0.5636363636363636,0.7419354838709677,0.1304347826086956,,,,0.109090909090909,0.5,1.0,0.3305084745762712,0.5641025641025641,0.0677966101694915,,0.1694915254237288,0.2,0.5240274599542334,0.320754716981132,0.4789166281755198,0.5170330000000001,0.4720943965517242,0.1293634496919918,0.1557788944723618,0.0112359550561797,0.1666666666666666,0.2411764705882353,8.877298850574713,25.484269662921346,0.2767676767676768,True,1.0,1.0,0.0112359550561797,0.03125,,1895,1610612750,2002,2001-02,True,,,0.33867276887871856,13.824330822247155,103.03030303030303,98.79275653923541,,,,,,,,,,0.4771321980927544,0.2931238778245189,15.733915359167591,0.5166087442918187,0.31466572661706,104.24667346207885,104.24667346207885,-0.0057363170858895085,0.04554889105419968,-1.9095845369204358,-0.010632648674288814,-0.035004709667907474,-5.453916922843433,-1.2163704317758146
222044.0,3701.0,-296.0,6990.0,7011.0,1847.0,1892.0,894.0,14001.0,1112.0,1854.0,254.0,407.0,293.0,477.0,479.0,1257.0,715.0,1874.0,133.0,332.0,10.0,23.0,43.0,90.0,331.0,900.0,33.0,83.0,105.0,281.0,2306.0,4985.0,464.0,1232.0,1354.0,7358.0,7654.0,370.0,689.0,43.0,106.0,177.0,1046.0,556.0,1147.0,148.0,371.0,557.0,2113.0,2636.0,1976.0,1227.0,165.0,448.0,,10.0,890.0,331.0,387.0,1318.0,409.0,1727.0,278.0,131.0,599.0,230.0,489.0,3863.0,183.0,806.0,28.0,370.0,1874.0,138.0,2382.0,1017.0,3399.0,98.0,502.0,320.0,182.0,493.0,139.0,350.0,535.0,73.0,143.0,47.0,1028.0,104.0,251.0,666.0,1578.0,2.0,122.0,157.0,1810.0,135.0,66.0,700.0,9.0,226.0,367.0,10.0,6.0,189.0,4.0,27.0,151.0,377.0,212.0,19.0,3.0,18.0,14.0,6312.0,2113.0,1847.0,178.0,0.5715524718126627,0.633045148895293,0.8814655172413793,0.3766233766233766,0.4056603773584906,0.398921832884097,0.3797054009819967,0.4625877632898696,0.5370101596516691,0.4847428073234525,0.482869551230497,0.5465408805031446,0.5125164690382081,0.5208125445473984,0.5741758241758241,0.5652173913043478,0.1981663181598842,0.0776328986960882,0.1202804746494067,0.1026252983293556,0.0186766275346851,0.4795719844357977,0.8466257668711656,0.1206896551724138,0.6580056179775281,0.305187429004165,0.6776556776556777,0.2510288065843621,0.6611667648791986,0.2934718100890208,0.3815967523680649,0.3133159268929504,0.25,0.25,0.2538071065989847,0.5647058823529412,0.6361746361746362,0.7172734314484895,0.6713615023474179,0.7,0.0328748742032874,90.79930103943364,0.5623342175066313,16.41587982832618,15.304093567251462,15.622603719599429,14.388674939380971,0.2982145729451504,0.5997842502696872,0.6817903126916003,0.5386690647482014,0.2021875502654013,0.381066030230708,0.424645390070922,0.4801670146137787,0.3014315586295641,0.3815368196371398,0.3887982599238717,0.6839160839160839,0.0534019623612674,0.4006024096385542,0.4042553191489361,0.9849624060150376,0.1447643557986166,0.3677777777777777,0.3702460850111856,0.8398791540785498,0.5119496855345912,0.6240786240786241,0.1496062992125984,0.0289308176100628,0.4347826086956521,0.9,0.1044025157232704,0.3975903614457831,0.9696969696969696,0.3142292490118577,0.6142557651991615,0.0592885375494071,0.4777777777777778,0.1851119894598155,0.3736654804270463,0.4963808911050346,0.3719101123595505,0.4792710012899066,0.4997577941176471,0.4752709634551494,0.1044336426572396,0.1261261261261261,0.0072639225181598,0.1421581951617287,0.2871704267463985,9.14132397191574,25.036525974025967,0.2642346208869814,False,9.0,2.0,0.0073051948051948,0.0090361445783132,0.0066666666666666,1895,1610612750,2002,2001-02,True,,,0.29113720443944024,14.634701896247368,105.26466380543634,109.17130223933819,,,,,,,,,,0.4771321980927544,0.2931238778245189,15.733915359167591,0.5166087442918187,0.31466572661706,104.24667346207885,104.24667346207885,0.005737353137742596,-0.00198667338507863,-1.0992134629202237,0.004203800255579759,-0.021193916528039203,4.924628777259343,1.0179903433574964
