Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%_opp,ORB%_opp,DRB%_opp,TRB%_opp,AST%_opp,STL%_opp,BLK%_opp,TOV%_opp,ORtg_opp,eFG%_diff,ORB%_diff,DRB%_diff,TRB%_diff,AST%_diff,STL%_diff,BLK%_diff,TOV%_diff,ORtg_diff,year,player,tempkey
On Court,POR,169,0.475,31.2,70.8,50.2,60.0,6.2,7.6,16.7,103.9,0.496,29.2,68.8,49.8,68.4,8.2,10.1,11.4,112.0,-0.021,2.0,2.0,0.4,-8.4,-2.0,-2.5,5.3,-8.1,1997,Kenny Anderson,Kenny Anderson1997
Off Court,POR,23,0.515,16.7,56.3,35.3,62.5,7.5,6.5,12.5,102.5,0.5,43.8,83.3,64.7,58.8,7.5,3.8,22.5,105.0,0.015,-27.1,-27.1,-29.4,3.7,0.0,2.6,-10.0,-2.5,1997,Kenny Anderson,Kenny Anderson1997
On − Off,POR,88%,-0.04,14.5,14.5,14.9,-2.5,-1.3,1.1,4.2,1.4,-0.004,-14.6,-14.5,-14.9,9.6,0.7,6.3,-11.1,7.0,-0.036,29.1,29.1,29.8,-12.1,-2.0,-5.1,15.3,-5.6,1997,Kenny Anderson,Kenny Anderson1997
On Court,ORL,130,0.415,23.8,65.6,44.9,45.3,6.5,12.7,14.7,91.8,0.452,34.4,76.2,55.1,67.9,8.6,9.3,14.7,102.6,-0.037,-10.6,-10.6,-10.1,-22.5,-2.2,3.4,0.0,-10.8,1997,Nick Anderson,Nick Anderson1997
Off Court,ORL,109,0.488,21.6,70.7,45.3,43.2,8.6,6.9,10.8,106.7,0.551,29.3,78.4,54.7,65.1,6.2,11.3,13.2,112.7,-0.063,-7.7,-7.7,-9.4,-21.8,2.5,-4.4,-2.4,-6.0,1997,Nick Anderson,Nick Anderson1997
On − Off,ORL,54%,-0.073,2.2,-5.1,-0.4,2.1,-2.1,5.8,3.9,-14.9,-0.099,5.1,-2.2,0.4,2.8,2.4,-2.0,1.5,-10.1,0.026,-2.9,-2.9,-0.7,-0.7,-4.7,7.8,2.4,-4.8,1997,Nick Anderson,Nick Anderson1997
On Court,UTA,292,0.461,27.0,72.8,51.0,63.1,9.8,7.3,15.0,97.0,0.478,27.2,73.0,49.0,66.7,9.3,11.3,14.0,109.1,-0.016,-0.2,-0.2,2.1,-3.6,0.5,-4.0,1.0,-12.1,1997,Shandon Anderson,Shandon Anderson1997
Off Court,UTA,669,0.495,30.7,73.6,52.9,65.2,7.9,9.3,12.4,111.4,0.486,26.4,69.3,47.1,55.9,7.3,8.4,12.8,107.9,0.009,4.2,4.2,5.8,9.4,0.5,0.9,-0.4,3.5,1997,Shandon Anderson,Shandon Anderson1997
On − Off,UTA,30%,-0.034,-3.7,-0.8,-1.9,-2.1,1.9,-2.0,2.6,-14.4,-0.008,0.8,3.7,1.9,10.8,2.0,2.9,1.2,1.2,-0.025,-4.4,-4.4,-3.7,-13.0,0.0,-4.9,1.4,-15.6,1997,Shandon Anderson,Shandon Anderson1997
On Court,MIA,118,0.469,19.3,69.1,45.1,58.8,7.9,5.8,21.0,91.3,0.475,30.9,80.7,54.9,65.0,13.1,8.1,16.3,103.1,-0.006,-11.5,-11.5,-9.9,-6.2,-5.2,-2.4,4.7,-11.8,1997,Willie Anderson,Willie Anderson1997
