,TEAM_ID,TEAM_NAME,TS_PCT,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_TS_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,NET_RATING,OFF_RATING,DEF_RATING,year,RDEF_RATING,ROFF_RATING
0,1610612737,Atlanta Hawks,0.541,0.485,0.369,0.187,0.323,0.5171986853360948,0.484,0.251,0.127,0.319,-3.4,103.6,107.0,1997,1.9437499999999943,-1.4562500000000114
1,1610612766,Charlotte Hornets,0.535,0.492,0.257,0.149,0.355,0.6413567493112947,0.629,0.235,0.165,0.252,-10.6,107.1,117.7,1997,12.643749999999997,2.0437499999999886
2,1610612741,Chicago Bulls,0.512,0.47,0.289,0.142,0.358,0.5238186985212657,0.469,0.389,0.186,0.307,5.9,106.0,100.1,1997,-4.956250000000011,0.9437499999999943
3,1610612765,Detroit Pistons,0.513,0.471,0.265,0.114,0.237,0.550971118043675,0.496,0.338,0.19,0.317,-2.4,101.9,104.3,1997,-0.7562500000000085,-3.15625
4,1610612745,Houston Rockets,0.566,0.516,0.369,0.167,0.348,0.5363071881333276,0.483,0.314,0.136,0.333,2.1,111.6,109.6,1997,4.543749999999989,6.543749999999989
5,1610612746,Los Angeles Clippers,0.527,0.476,0.382,0.136,0.268,0.6116599869512537,0.552,0.502,0.155,0.365,-13.9,104.9,118.9,1997,13.84375,-0.15625
6,1610612747,Los Angeles Lakers,0.544,0.481,0.485,0.149,0.317,0.5338583034539099,0.468,0.445,0.166,0.328,0.3,106.7,106.4,1997,1.34375,1.6437499999999972
7,1610612748,Miami Heat,0.512,0.467,0.371,0.185,0.316,0.49735363758763174,0.442,0.331,0.163,0.307,0.2,98.1,97.9,1997,-7.15625,-6.956250000000011
8,1610612750,Minnesota Timberwolves,0.516,0.487,0.203,0.104,0.316,0.6152993348115299,0.574,0.39,0.159,0.364,-11.7,111.2,122.9,1997,17.84375,6.143749999999997
9,1610612752,New York Knicks,0.548,0.504,0.302,0.176,0.269,0.5200102258994144,0.474,0.37,0.173,0.316,2.2,102.2,100.0,1997,-5.056250000000006,-2.856250000000003
10,1610612753,Orlando Magic,0.501,0.448,0.345,0.145,0.265,0.5289301812160795,0.495,0.288,0.16,0.373,-8.4,98.6,107.0,1997,1.9437499999999943,-6.456250000000011
11,1610612756,Phoenix Suns,0.528,0.478,0.337,0.164,0.279,0.5679987109249114,0.516,0.327,0.141,0.333,-12.7,101.2,113.9,1997,8.84375,-3.856250000000003
12,1610612757,Portland Trail Blazers,0.528,0.479,0.373,0.177,0.299,0.5599259602036094,0.496,0.554,0.145,0.335,-7.4,102.6,109.9,1997,4.84375,-2.4562500000000114
13,1610612760,Seattle SuperSonics,0.551,0.494,0.344,0.143,0.334,0.5391904639396278,0.491,0.341,0.174,0.342,4.5,110.3,105.8,1997,0.7437499999999915,5.2437499999999915
14,1610612762,Utah Jazz,0.547,0.485,0.408,0.152,0.335,0.5350553505535055,0.483,0.377,0.146,0.286,4.1,109.3,105.2,1997,0.14374999999999716,4.2437499999999915
15,1610612764,Washington Bullets,0.563,0.505,0.405,0.207,0.328,0.5405231836280344,0.492,0.285,0.144,0.396,-6.3,105.6,111.8,1997,6.7437499999999915,0.5437499999999886
0,1610612737,Atlanta Hawks,0.528,0.495,0.305,0.15,0.291,0.5320991931891303,0.511,0.313,0.157,0.238,2.3,102.6,100.3,1998,-2.581249999999997,-0.28125
1,1610612766,Charlotte Hornets,0.509,0.479,0.261,0.164,0.277,0.5215430155523187,0.48,0.303,0.143,0.324,-7.4,96.3,103.6,1998,0.71875,-6.581249999999997
2,1610612741,Chicago Bulls,0.523,0.472,0.367,0.146,0.37,0.5230354279049424,0.476,0.322,0.177,0.318,8.1,107.9,99.9,1998,-2.9812499999999886,5.018750000000011
3,1610612739,Cleveland Cavaliers,0.524,0.449,0.573,0.219,0.344,0.5617977528089888,0.514,0.33,0.175,0.297,-8.6,96.7,105.3,1998,2.418750000000003,-6.1812499999999915
4,1610612745,Houston Rockets,0.478,0.416,0.395,0.145,0.277,0.5264976958525346,0.48,0.408,0.152,0.267,-8.0,94.4,102.5,1998,-0.3812499999999943,-8.481249999999989
5,1610612754,Indiana Pacers,0.556,0.499,0.422,0.168,0.297,0.5214159209545116,0.467,0.407,0.178,0.365,2.7,105.6,102.9,1998,0.01875000000001137,2.71875
6,1610612747,Los Angeles Lakers,0.553,0.514,0.471,0.144,0.363,0.5522581220992502,0.501,0.36,0.16,0.358,0.4,111.8,111.4,1998,8.518750000000011,8.918750000000003
7,1610612748,Miami Heat,0.529,0.483,0.425,0.155,0.239,0.5305039787798409,0.465,0.408,0.167,0.303,-2.7,99.5,102.3,1998,-0.5812499999999972,-3.3812499999999943
8,1610612750,Minnesota Timberwolves,0.508,0.462,0.256,0.159,0.335,0.5546311702717693,0.512,0.295,0.157,0.33,-6.6,102.5,109.1,1998,6.21875,-0.3812499999999943
9,1610612751,New Jersey Nets,0.531,0.485,0.314,0.148,0.349,0.5542483377946638,0.515,0.403,0.159,0.38,-8.5,105.6,114.1,1998,11.21875,2.71875
10,1610612752,New York Knicks,0.523,0.472,0.335,0.18,0.311,0.5378637096009856,0.481,0.433,0.157,0.26,-2.7,99.1,101.8,1998,-1.0812499999999972,-3.78125
11,1610612756,Phoenix Suns,0.492,0.459,0.249,0.119,0.263,0.5644798921590654,0.53,0.443,0.155,0.282,-7.2,100.3,107.5,1998,4.618750000000006,-2.581249999999997
12,1610612757,Portland Trail Blazers,0.542,0.489,0.358,0.177,0.363,0.5725611098876899,0.531,0.555,0.127,0.304,-3.4,108.7,112.1,1998,9.21875,5.8187500000000085
13,1610612759,San Antonio Spurs,0.536,0.489,0.427,0.163,0.304,0.49246298190226334,0.453,0.28,0.121,0.273,3.6,103.4,99.7,1998,-3.1812499999999915,0.5187500000000114
14,1610612760,Seattle SuperSonics,0.538,0.497,0.295,0.146,0.357,0.553564136303825,0.516,0.323,0.161,0.37,-2.6,109.7,112.3,1998,9.418750000000003,6.8187500000000085
15,1610612762,Utah Jazz,0.526,0.477,0.347,0.165,0.297,0.49561983848154406,0.441,0.397,0.15,0.324,2.7,102.0,99.3,1998,-3.581249999999997,-0.8812499999999943
