player_name,Offense,Defense,Total,OEFG,OTOV,OREB,OFTR,DEFG,DTOV,DREB,DFTR,TEFG,TTOV,TREB,TFTR,Offense_Rank,Offense_Perc,Defense_Rank,Defense_Perc,Total_Rank,Total_Perc,OEFG_Rank,OEFG_Perc,OTOV_Rank,OTOV_Perc,OREB_Rank,OREB_Perc,OFTR_Rank,OFTR_Perc,DEFG_Rank,DEFG_Perc,DTOV_Rank,DTOV_Perc,DREB_Rank,DREB_Perc,DFTR_Rank,DFTR_Perc,TEFG_Rank,TEFG_Perc,TTOV_Rank,TTOV_Perc,TREB_Rank,TREB_Perc,TFTR_Rank,TFTR_Perc,nba_id
Steven Adams,2.1,0.9,3.0,0.8,-0.95,6.31,0.53,0.03,-0.77,4.01,3.51,0.83,-1.72,10.32,4.04,109,95.7,304,88.0,95,96.4,294,88.9,482,81.8,3,99.9,900,65.9,1123,56.9,114,95.6,2627,0.5,2598,1.7,417,84.2,2429,8.1,1,100.0,35,98.7,203500
Boban Marjanovic,2.0,0.3,2.3,0.21,-1.4,5.39,1.52,0.07,-1.28,4.45,1.91,0.29,-2.68,9.84,3.43,121,95.4,486,81.1,149,94.3,704,73.3,256,90.2,14,99.5,374,85.8,996,61.9,15,99.4,2634,0.3,2462,6.9,745,71.6,2596,1.9,2,100.0,64,97.6,1626246
Jeff Foster,-0.1,2.9,2.8,-0.29,-0.49,4.9,-1.82,0.97,0.07,4.16,1.19,0.69,-0.42,9.06,-0.63,461,82.1,41,98.4,114,95.6,1791,32.0,821,68.9,20,99.3,2375,10.1,156,94.1,1650,37.0,2629,0.5,2325,12.0,484,81.6,1743,34.0,3,99.9,1832,30.7,1902
Enes Freedom,2.1,-2.2,-0.1,0.19,-1.6,6.93,-0.57,-0.61,-1.01,2.05,2.13,-0.42,-2.61,8.99,1.57,109,95.7,1910,25.6,450,82.6,715,72.7,183,93.0,2,100.0,1878,28.9,2347,11.2,49,98.1,2501,5.3,2485,6.0,1841,30.2,2587,2.2,4,99.9,369,86.1,202683
Reggie Evans,-2.2,-0.2,-2.4,-0.93,-1.83,6.28,-0.15,-0.8,0.25,2.38,2.6,-1.73,-1.58,8.66,2.45,1137,56.3,679,73.3,994,62.1,2486,5.9,121,95.4,4,99.9,1497,43.1,2460,6.8,2061,21.9,2540,3.8,2537,4.0,2562,3.1,2381,9.9,5,99.8,169,93.6,2501
Andre Drummond,0.6,-0.1,0.5,0.64,-1.47,6.18,0.05,-0.68,-0.01,2.32,3.1,-0.05,-1.48,8.5,3.15,290,88.7,637,75.2,357,86.3,379,85.5,237,91.0,5,99.8,1325,49.7,2391,9.5,1279,50.4,2529,4.2,2571,2.8,1252,52.4,2343,11.4,6,99.8,88,96.7,203083
Kenneth Faried,2.8,-1.6,1.2,0.82,-0.56,5.84,0.28,-0.96,-0.18,2.51,1.57,-0.14,-0.74,8.35,1.85,67,97.4,1436,44.6,248,90.4,275,89.5,767,71.0,8,99.7,1090,58.7,2523,4.4,732,72.0,2558,3.1,2413,8.7,1433,45.4,1994,24.5,7,99.8,286,89.2,202702
Nikola Pekovic,0.2,0.4,0.6,-0.04,-1.1,4.62,-0.28,-0.21,-0.55,3.54,3.46,-0.25,-1.64,8.16,3.18,384,85.0,447,82.4,335,87.0,1185,54.5,401,84.8,27,99.0,1640,37.9,1854,29.5,229,91.2,2616,0.9,2594,1.9,1619,38.5,2408,8.9,8,99.7,83,96.9,201593
Tristan Thompson,-1.0,-2.1,-3.1,-0.91,-0.61,5.2,0.41,-1.11,-1.2,2.63,3.8,-2.03,-1.8,7.83,4.21,722,71.9,1813,29.7,1161,55.7,2473,6.4,723,72.5,15,99.5,994,62.2,2567,2.9,20,99.3,2566,2.8,2606,1.4,2602,1.6,2453,7.2,9,99.7,27,99.0,202684
Day'Ron Sharpe,1.2,-0.8,0.4,-0.15,-1.6,7.34,0.55,-0.29,-0.28,0.48,-0.06,-0.44,-1.89,7.82,0.49,205,92.1,976,62.1,373,85.8,1499,42.7,183,93.0,1,100.0,885,66.5,1987,24.5,551,78.9,2018,23.4,1381,47.4,1862,29.4,2475,6.4,10,99.7,911,65.4,1630549
Omer Asik,-1.8,2.6,0.8,0.62,-1.66,2.54,-1.21,1.1,-0.96,5.24,4.35,1.72,-2.62,7.79,3.15,999,61.7,56,97.8,309,88.1,394,85.1,170,93.6,157,94.1,2184,17.3,124,95.3,61,97.7,2640,0.0,2622,0.8,151,94.3,2589,2.2,11,99.6,88,96.7,201600
Clint Capela,-1.2,2.3,1.1,0.58,-0.85,4.21,-1.53,1.13,-0.4,3.58,4.68,1.71,-1.24,7.78,3.15,804,69.1,77,96.9,263,89.8,411,84.4,540,79.5,42,98.4,2291,13.3,118,95.6,390,85.0,2617,0.9,2634,0.4,153,94.2,2231,15.6,12,99.6,88,96.7,203991
Dennis Rodman,1.2,0.3,1.5,-0.31,-1.23,4.45,-2.32,0.14,-0.63,3.25,1.38,-0.17,-1.86,7.7,-0.95,205,92.1,486,81.1,213,91.8,1829,30.6,345,86.9,33,98.8,2467,6.7,826,68.4,174,93.3,2604,1.4,2376,10.1,1486,43.4,2469,6.7,13,99.5,2024,23.3,23
Nikola Jokic,6.8,2.0,8.8,3.87,-0.66,2.42,0.76,0.25,-0.32,5.16,3.55,4.12,-0.98,7.58,4.31,6,99.8,106,95.8,5,99.8,3,99.9,685,74.0,182,93.1,742,71.8,657,75.0,482,81.5,2639,0.1,2599,1.7,11,99.6,2131,19.4,14,99.5,25,99.1,203999
Mitchell Robinson,1.3,1.1,2.4,0.43,-1.3,5.94,0.59,0.91,-0.22,1.48,1.86,1.33,-1.52,7.42,2.45,192,92.6,258,89.9,137,94.7,501,80.9,311,88.2,7,99.8,848,67.8,177,93.3,646,75.3,2406,8.9,2453,7.2,238,91.0,2362,10.7,15,99.5,169,93.6,1629011
Joey Dorsey,-2.3,0.5,-1.8,-0.22,-1.77,5.77,-0.26,-0.26,0.31,1.52,0.21,-0.48,-1.46,7.28,-0.05,1179,54.8,418,83.7,836,68.2,1659,36.8,137,94.8,10,99.7,1621,38.5,1935,26.5,2135,18.9,2414,8.6,1875,29.0,1901,27.9,2336,11.7,16,99.4,1360,48.4,201595
Tari Eason,0.5,1.9,2.4,-0.99,-0.45,6.05,3.05,0.96,0.42,1.23,-0.91,-0.02,-0.02,7.28,2.14,312,87.9,117,95.4,137,94.7,2521,4.6,847,67.8,6,99.8,66,97.5,158,94.0,2265,14.2,2342,11.2,431,83.6,1181,54.8,1323,49.8,16,99.4,228,91.4,1631106
