Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%_opp,ORB%_opp,DRB%_opp,TRB%_opp,AST%_opp,STL%_opp,BLK%_opp,TOV%_opp,ORtg_opp,eFG%_diff,ORB%_diff,DRB%_diff,TRB%_diff,AST%_diff,STL%_diff,BLK%_diff,TOV%_diff,ORtg_diff,year,player,tempkey
On Court,SAC,2126,0.491,30.4,69.3,49.6,58.3,7.7,6.4,15.6,103.5,0.5,30.7,69.6,50.4,59.7,9.1,7.8,13.9,109.4,-0.009,-0.3,-0.3,-0.7,-1.4,-1.5,-1.4,1.6,-5.9,1997,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf1997
Off Court,SAC,1825,0.478,33.8,67.5,50.4,61.7,7.8,7.3,16.5,103.3,0.49,32.5,66.2,49.6,58.1,9.6,7.6,15.3,106.0,-0.012,1.3,1.3,0.9,3.6,-1.8,-0.3,1.2,-2.7,1997,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf1997
On − Off,SAC,54%,0.013,-3.4,1.8,-0.8,-3.4,-0.1,-0.9,-0.9,0.2,0.01,-1.8,3.4,0.8,1.6,-0.5,0.2,-1.4,3.4,0.003,-1.6,-1.6,-1.6,-5.0,0.3,-1.1,0.4,-3.2,1997,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf1997
On Court,VAN,2783,0.474,30.7,63.1,46.7,65.2,8.7,8.6,16.0,100.6,0.516,36.9,69.3,53.3,63.3,10.1,9.4,16.2,112.2,-0.042,-6.2,-6.2,-6.5,2.0,-1.4,-0.8,-0.2,-11.5,1997,Shareef Abdur-Rahim,Shareef Abdur-Rahim1997
Off Court,VAN,1142,0.465,27.6,66.4,46.5,68.1,9.5,9.7,14.5,98.4,0.495,33.6,72.4,53.5,65.3,9.3,7.6,16.4,106.0,-0.03,-6.0,-6.0,-7.0,2.8,0.2,2.1,-1.9,-7.6,1997,Shareef Abdur-Rahim,Shareef Abdur-Rahim1997
On − Off,VAN,71%,0.009,3.1,-3.3,0.2,-2.9,-0.8,-1.1,1.5,2.2,0.021,3.3,-3.1,-0.2,-2.0,0.8,1.8,-0.2,6.2,-0.012,-0.2,-0.2,0.5,-0.8,-1.6,-2.9,1.7,-3.9,1997,Shareef Abdur-Rahim,Shareef Abdur-Rahim1997
On Court,CHH,349,0.517,35.2,66.9,51.9,66.9,7.0,4.7,17.2,107.8,0.504,33.1,64.8,48.1,61.0,8.9,5.8,13.8,111.2,0.013,2.1,2.1,3.8,5.9,-1.9,-1.1,3.4,-3.3,1997,Rafael Addison,Rafael Addison1997
Off Court,CHH,3588,0.518,28.3,68.2,48.8,67.7,8.2,6.8,13.7,110.8,0.495,31.8,71.7,51.2,58.1,7.1,6.8,14.7,106.5,0.022,-3.6,-3.6,-2.5,9.6,1.0,0.0,-1.0,4.3,1997,Rafael Addison,Rafael Addison1997
On − Off,CHH,9%,-0.001,6.9,-1.3,3.1,-0.8,-1.2,-2.1,3.5,-3.0,0.009,1.3,-6.9,-3.1,2.9,1.8,-1.0,-0.9,4.7,-0.009,5.7,5.7,6.3,-3.7,-2.9,-1.1,4.4,-7.6,1997,Rafael Addison,Rafael Addison1997
On Court,SAS,1434,0.479,34.9,66.0,49.9,56.5,9.3,9.0,17.1,101.6,0.514,34.0,65.1,50.1,65.4,9.9,8.9,15.9,111.4,-0.035,0.9,0.9,-0.2,-8.9,-0.6,0.1,1.2,-9.7,1997,Cory Alexander,Cory Alexander1997
Off Court,SAS,2487,0.468,31.0,67.3,48.6,60.1,8.6,8.4,14.7,101.3,0.514,32.7,69.0,51.4,64.9,8.7,8.4,14.5,109.9,-0.046,-1.7,-1.7,-2.8,-4.9,-0.1,0.0,0.2,-8.6,1997,Cory Alexander,Cory Alexander1997
On − Off,SAS,37%,0.011,3.9,-1.3,1.3,-3.6,0.7,0.6,2.4,0.3,0.0,1.3,-3.9,-1.3,0.5,1.2,0.5,1.4,1.5,0.011,2.6,2.6,2.6,-4.0,-0.5,0.1,1.0,-1.1,1997,Cory Alexander,Cory Alexander1997
On Court,IND,685,.480,28.9,72.0,51.4,65.5,6.9,6.8,16.6,102.5,.472,28.0,71.1,48.6,61.9,10.2,10.5,14.3,100.7,+.008,+1.0,+1.0,+2.7,+3.6,-3.3,-3.7,+2.3,+1.8,1997,Jerome Allen,Jerome Allen1997
Off Court,IND,3266,.492,31.8,70.0,51.1,60.6,8.0,8.2,15.9,105.4,.481,30.0,68.2,48.9,62.1,9.1,7.7,15.8,104.0,+.011,+1.8,+1.8,+2.2,-1.5,-1.1,+0.5,+0.1,+1.5,1997,Jerome Allen,Jerome Allen1997
On − Off,IND,17%,-.012,-2.9,+2.0,+0.3,+4.9,-1.1,-1.4,+0.7,-2.9,-.009,-2.0,+2.9,-0.3,-0.2,+1.1,+2.8,-1.5,-3.3,-.003,-0.8,-0.8,+0.5,+5.1,-2.2,-4.2,+2.2,+0.3,1997,Jerome Allen,Jerome Allen1997
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Jerome Allen,Jerome Allen1997
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Jerome Allen,Jerome Allen1997
On Court,DEN,249,.483,30.5,63.2,45.7,62.8,7.4,8.2,15.0,105.0,.561,36.8,69.5,54.3,58.4,9.8,10.1,12.8,119.8,-.078,-6.3,-6.3,-8.6,+4.4,-2.4,-1.9,+2.2,-14.8,1997,Jerome Allen,Jerome Allen1997
Off Court,DEN,3713,.487,28.7,69.5,49.5,64.4,6.4,8.3,15.6,102.1,.497,30.5,71.3,50.5,55.8,9.2,9.0,12.3,109.1,-.011,-1.8,-1.8,-0.9,+8.6,-2.9,-0.6,+3.3,-7.1,1997,Jerome Allen,Jerome Allen1997
On − Off,DEN,6%,-.004,+1.8,-6.3,-3.8,-1.6,+1.0,-0.1,-0.6,+2.9,+.064,+6.3,-1.8,+3.8,+2.6,+0.6,+1.1,+0.5,+10.7,-.067,-4.5,-4.5,-7.7,-4.2,+0.5,-1.3,-1.1,-7.7,1997,Jerome Allen,Jerome Allen1997
On Court,IND,685,.480,28.9,72.0,51.4,65.5,6.9,6.8,16.6,102.5,.472,28.0,71.1,48.6,61.9,10.2,10.5,14.3,100.7,+.008,+1.0,+1.0,+2.7,+3.6,-3.3,-3.7,+2.3,+1.8,1997,Jerome Allen,Jerome Allen1997
Off Court,IND,3266,.492,31.8,70.0,51.1,60.6,8.0,8.2,15.9,105.4,.481,30.0,68.2,48.9,62.1,9.1,7.7,15.8,104.0,+.011,+1.8,+1.8,+2.2,-1.5,-1.1,+0.5,+0.1,+1.5,1997,Jerome Allen,Jerome Allen1997
On − Off,IND,17%,-.012,-2.9,+2.0,+0.3,+4.9,-1.1,-1.4,+0.7,-2.9,-.009,-2.0,+2.9,-0.3,-0.2,+1.1,+2.8,-1.5,-3.3,-.003,-0.8,-0.8,+0.5,+5.1,-2.2,-4.2,+2.2,+0.3,1997,Jerome Allen,Jerome Allen1997
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Jerome Allen,Jerome Allen1997
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Jerome Allen,Jerome Allen1997
On Court,DEN,249,.483,30.5,63.2,45.7,62.8,7.4,8.2,15.0,105.0,.561,36.8,69.5,54.3,58.4,9.8,10.1,12.8,119.8,-.078,-6.3,-6.3,-8.6,+4.4,-2.4,-1.9,+2.2,-14.8,1997,Jerome Allen,Jerome Allen1997
Off Court,DEN,3713,.487,28.7,69.5,49.5,64.4,6.4,8.3,15.6,102.1,.497,30.5,71.3,50.5,55.8,9.2,9.0,12.3,109.1,-.011,-1.8,-1.8,-0.9,+8.6,-2.9,-0.6,+3.3,-7.1,1997,Jerome Allen,Jerome Allen1997
On − Off,DEN,6%,-.004,+1.8,-6.3,-3.8,-1.6,+1.0,-0.1,-0.6,+2.9,+.064,+6.3,-1.8,+3.8,+2.6,+0.6,+1.1,+0.5,+10.7,-.067,-4.5,-4.5,-7.7,-4.2,+0.5,-1.3,-1.1,-7.7,1997,Jerome Allen,Jerome Allen1997
On Court,IND,685,.480,28.9,72.0,51.4,65.5,6.9,6.8,16.6,102.5,.472,28.0,71.1,48.6,61.9,10.2,10.5,14.3,100.7,+.008,+1.0,+1.0,+2.7,+3.6,-3.3,-3.7,+2.3,+1.8,1997,Jerome Allen,Jerome Allen1997
